$BUILT 2024-01-29 06:08:06
$AUTHOR geoo
$ENGLISH Just Mine

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 384
#SIZE_Y 368
#TORUS_X 1
#TORUS_Y 0

#INITIAL 32
#REQUIRED 31
#SPAWN_INTERVAL 30

#MINER 3
#EXPLODER2 0

:geoo/sandstone/fennec.H: 168 24

:geoo/sandstone/Goal.G: 160 272

:geoo/sandstone/64x32: 0 96
:geoo/sandstone/64x32: 64 96
:geoo/sandstone/64x32: 128 96
:geoo/sandstone/64x32: 192 96
:geoo/sandstone/64x32: 256 96
:geoo/sandstone/64x32: 320 96
:geoo/sandstone/64x32: 32 128
:geoo/sandstone/64x32: 96 128
:geoo/sandstone/64x32: 160 128
:geoo/sandstone/64x32: 224 128
:geoo/sandstone/64x32: 288 128
:geoo/sandstone/64x32: 352 128
:geoo/sandstone/64x32: 0 208
:geoo/sandstone/64x32: 64 208
:geoo/sandstone/64x32: 128 208
:geoo/sandstone/64x32: 192 208
:geoo/sandstone/64x32: 256 208
:geoo/sandstone/64x32: 320 208
:geoo/sandstone/64x32: 32 240
:geoo/sandstone/64x32: 96 240
:geoo/sandstone/64x32: 160 240
:geoo/sandstone/64x32: 224 240
:geoo/sandstone/64x32: 288 240
:geoo/sandstone/64x32: 352 240
:geoo/steel/64x32o.S: 0 336
:geoo/steel/64x32o.S: 64 336
:geoo/steel/64x32o.S: 128 336
:geoo/steel/64x32o.S: 192 336
:geoo/steel/64x32o.S: 256 336
:geoo/steel/64x32o.S: 320 336
