$BUILT 2015-06-22 12:30:29
$AUTHOR mobius/geoo
$GERMAN 
$ENGLISH Elixir

#SIZE_X 704
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y -20
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 50
#REQUIRED 48
#SPAWN_INTERVAL 50
#SPAWN_INTERVAL_FAST 4

#JUMPER 3
#CLIMBER 3
#FLOATER 1
#EXPLODER2 1
#BLOCKER 1
#BUILDER 3
#MINER 1
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 32 192

:matt/marble/Goal.G: 352 96

:geoo/construction/sawblade_medium.F: 640 -16
:simon/crystal.W: 0 352
:simon/crystal.W: 48 352
:simon/crystal.W: 96 352
:simon/crystal.W: 144 352
:simon/crystal.W: 192 352
:geoo/construction/sawblade_small.F: 288 152
:geoo/construction/sawblade_small.F: 320 152
:geoo/construction/sawblade_small.F: 304 16

:matt/marble/07b: 544 304
:matt/marble/06b: 688 304
:matt/marble/06b: 688 240
:matt/marble/09: 32 272
:matt/marble/09: 160 208
:matt/marble/09: 160 272
:matt/marble/09: 96 272
:matt/marble/09: 160 144
:matt/marble/09: 224 208
:matt/marble/09: 224 272
:matt/marble/09: 224 144
:matt/marble/09a: 288 336
:matt/marble/09a: 352 336
:matt/marble/09a: 416 336
:geoo/steel/32x64o.S: 432 64
:geoo/steel/32x64o.S: 304 56
:matt/marble/09a: 352 144
:matt/marble/09a: 416 144
:matt/marble/09a: 484 144
:matt/marble/09a: 548 144
:geoo/steel/32x64o.S: 432 0
:matt/marble/09b: 480 336
:matt/marble/14b: 512 304
:matt/marble/14b: 544 272
:matt/marble/14b: 576 240
:matt/marble/14b: 608 208
:matt/marble/14b: 640 176
:matt/marble/14b: 688 144
:matt/marble/09b: 544 336
:matt/marble/07b: 640 304
:matt/marble/09b: 608 336
:matt/marble/09b: 672 336
:matt/marble/07b: 576 272
:matt/marble/07b: 592 288
:matt/marble/07b: 640 256
:matt/marble/07b: 608 240
:matt/marble/05b: 624 272
:matt/marble/07b: 640 208
:matt/marble/06b: 688 176
:geoo/steel/32x64o.S: 672 208
:geoo/steel/32x64o.S: 672 144
:geoo/steel/32x64o.S: 672 336
:geoo/steel/32x64o.S: 672 272
:geoo/steel/32x64o.S: 672 16
:geoo/steel/32x64o.S: 672 80
:geoo/steel/32x64o.S: 304 120
:geoo/steel/32x16o.S: 400 0
:geoo/steel/32x64o.S: 224 240
:geoo/steel/32x64o.S: 224 280 d
:matt/marble/09a: 224 336
:geoo/steel/32x64o.S: 224 272 n
:geoo/steel/32x64o.S: 672 -48
:matt/marble/20: 56 336
:matt/marble/16a: 612 144
:matt/marble/15a: 612 176
:geoo/steel/32x16o.S: 336 0
:geoo/steel/32x32o.S: 304 0
:matt/marble/16a: 288 304
