$BUILT 2015-06-16 12:16:18
$AUTHOR minimac
$GERMAN 
$ENGLISH Some Like to Run

#SIZE_X 1280
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y -2
#BACKGROUND_RED 87
#BACKGROUND_GREEN 32
#BACKGROUND_BLUE 148

#SECONDS 0
#INITIAL 10
#REQUIRED 10
#SPAWN_INTERVAL 10
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#BUILDER 2
#CLIMBER 2
#DIGGER 3
#JUMPER 4
#CUBER 1
#RUNNER 1
#FLOATER 1
#PLATFORMER 3
#NOTHING 0
#NOTHING 0

:matt/carnival/Hatch.H: 32 16
:matt/carnival/Hatch.H: 792 208
:matt/carnival/Hatch.H: 696 208
:matt/carnival/Hatch.H: 888 208

:matt/carnival/Goal.G: 1024 304

:matt/10tons.T: 950 136

:matt/carnival/58: 400 32
:matt/carnival/24: 0 368
:matt/carnival/27: 64 368
:matt/carnival/25: 0 304
:matt/carnival/26: 64 304
:matt/carnival/27: 0 240
:matt/carnival/26: 0 176
:matt/carnival/25: 64 176
:matt/carnival/24: 64 240
:matt/carnival/19: 128 368
:matt/carnival/18: 192 368
:matt/carnival/17: 256 368
:matt/carnival/16: 320 368
:matt/carnival/37: 208 128
:matt/carnival/35: 208 240
:matt/carnival/51: 272 128
:matt/carnival/51: 336 128
:matt/carnival/54: 304 240
:matt/carnival/06: 400 96
:matt/carnival/06: 304 -16
:matt/carnival/04: 304 48
:matt/carnival/38: 368 64 rrr
:matt/carnival/05: 400 32
:matt/carnival/46: 432 176
:matt/carnival/54: 368 240
:matt/carnival/54: 432 240
:matt/carnival/45: 496 144
:matt/carnival/45: 496 80
:matt/carnival/46: 432 112
:geoo/steel/64x64.S: 528 80
:matt/carnival/35: 272 272
:matt/carnival/54: 336 272
:matt/carnival/54: 400 272
:geoo/steel/dark_64x32o.S: 592 112
:geoo/steel/32x64o.S: 528 144
:geoo/steel/dark_64x32o.S: 656 112
:geoo/steel/dark_64x32o.S: 720 112
:geoo/steel/64x32o.S: 656 32
:geoo/steel/64x32o.S: 720 32
:geoo/steel/dark_32x16o.S: 336 304
:geoo/steel/dark_32x16o.S: 400 304
:geoo/steel/32x16o.S: 368 304
:geoo/steel/32x16o.S: 432 304
:geoo/steel/dark_32x16o.S: 464 304
:matt/carnival/19: 512 368
:matt/carnival/18: 448 368
:matt/carnival/17: 384 368
:geoo/steel/64x64.S: 640 304
:geoo/steel/64x64.S: 640 240
:geoo/steel/64x64.S: 640 176
:matt/carnival/55: 704 176
:geoo/steel/32x64o.S: 768 176
:geoo/steel/32x64o.S: 864 176
:geoo/steel/32x64o.S: 768 240
:geoo/steel/32x64o.S: 864 240
:geoo/steel/64x32o.S: 640 368
:geoo/steel/64x32o.S: 704 368
:geoo/steel/64x32o.S: 768 368
:geoo/steel/64x32o.S: 832 368
:geoo/steel/64x32o.S: 896 368
:matt/carnival/12: 752 208
:matt/carnival/15: 752 224
:matt/carnival/14: 752 240
:matt/carnival/13: 752 256
:matt/carnival/12: 752 272
:matt/carnival/15: 752 288
:matt/carnival/14: 848 272
:matt/carnival/13: 848 208
:matt/carnival/12: 848 240
:matt/carnival/15: 848 256
:matt/carnival/15: 944 208
:matt/carnival/13: 848 288
:matt/carnival/14: 848 224
:matt/carnival/13: 944 272
:matt/carnival/12: 944 224
:matt/carnival/12: 944 288
:matt/carnival/15: 944 240
:matt/carnival/14: 944 256
:matt/carnival/55: 704 304
:geoo/steel/dark_32x32o.S: 960 176
:geoo/steel/dark_32x32o.S: 960 240
:geoo/steel/dark_32x32o.S: 960 304
:geoo/steel/32x32o.S: 960 272
:geoo/steel/32x32o.S: 960 208
:matt/carnival/16: 576 368
:geoo/steel/64x32o.S: 960 368
:geoo/steel/64x32o.S: 1024 368
:matt/carnival/40: 1184 368
:matt/carnival/42: 1216 368
:matt/carnival/39: 1248 368
:matt/carnival/06: 1248 176
:matt/carnival/06: 1248 304
:matt/carnival/05: 1248 112
:matt/carnival/05: 1248 240
:matt/carnival/45: 1216 336
:matt/carnival/45: 1216 272
:matt/carnival/45: 1216 208
:matt/carnival/45: 1216 144
:matt/carnival/46: 1216 112
:matt/carnival/46: 1216 176
:matt/carnival/46: 1216 240
:matt/carnival/46: 1216 304
:matt/carnival/56: 960 112
:matt/carnival/41: 1152 368
:matt/carnival/42: 1120 368
:matt/carnival/05: 1184 144
:matt/carnival/07: 1184 208
:matt/carnival/06: 1184 272
:matt/carnival/05: 960 112 rrrd
:matt/carnival/33: 960 112
:geoo/steel/dark_64x32o.S: 64 144
:geoo/steel/64x32o.S: 0 144
:geoo/steel/32x32o.S: 528 208
:matt/carnival/45: 496 208
:matt/carnival/10: 272 240
:matt/carnival/11: 496 240
:matt/carnival/11: 464 272
:matt/carnival/43: 528 240
:matt/carnival/43: 496 272
:geoo/steel/32x64o.S: 400 160
:geoo/steel/32x64o.S: 336 176
:geoo/steel/32x64o.S: 272 160
