$BUILT 2014-09-15 17:35:59
$AUTHOR Michael S. Repton
$GERMAN 
$ENGLISH The Hotel in Hell

#SIZE_X 2560
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 720
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 120
#INITIAL 30
#REQUIRED 24
#SPAWN_INTERVAL 52
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#FLOATER 2
#EXPLODER 2
#BLOCKER 2
#BUILDER 5
#BASHER 5
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/underworld/Hatch.H: 1072 64

:matt/underworld/Goal.G: 832 272

:geoo/construction/squisher.T: 944 64
:geoo/construction/squisher.T: 1264 144
:geoo/construction/squisher.T: 1312 304

:proxima/flame.F: 704 336
:proxima/flame.F: 736 352
:proxima/flame.F: 672 352
:proxima/flame.F: 952 132
:proxima/flame.F: 784 64
:proxima/flame.F: 816 80
:proxima/flame.F: 752 80
:matt/underworld/Lava.W: 1152 368
:matt/underworld/Lava.W: 1200 368
:matt/underworld/Lava.W: 1248 368
:geoo/construction/Laser_hz_64.F: 976 232
:proxima/flame.F: 1016 196
:geoo/construction/Laseremit_hzl_16.F: 992 232
:proxima/flame.F: 1044 184
:proxima/flame.F: 1084 196
:proxima/flame.F: 960 132
:proxima/flame.F: 1056 196
:proxima/flame.F: 1326 252
:proxima/flame.F: 1290 252
:proxima/flame.F: 1310 244

:matt/underworld/01: 768 368
:matt/underworld/01: 832 368
:matt/underworld/01: 960 368
:matt/underworld/01: 1024 368
:matt/underworld/00: 640 384
:matt/underworld/00: 704 384
:matt/underworld/01: 960 336
:geoo/construction/pillar_32: 960 344
:geoo/construction/pillar_32: 960 312
:geoo/construction/pillar_32: 960 280
:geoo/construction/pillar_32: 960 248
:geoo/construction/pillar_32: 960 216
:geoo/construction/pillar_32: 960 184
:geoo/construction/pillar_top_shaded: 960 184
:geoo/construction/pillar_base: 944 168
:matt/underworld/00: 944 128
:matt/underworld/00: 1008 128
:matt/underworld/00: 1072 128
:geoo/construction/pillar_32: 960 376
:geoo/steel/dark_32x64o.S: 864 112
:geoo/steel/dark_32x32o.S: 864 176
:geoo/steel/dark_64x32o.S: 800 176
:matt/underworld/01: 800 112
:matt/underworld/01: 672 112
:matt/underworld/01: 800 144
:matt/underworld/01: 672 144
:matt/underworld/01: 672 176
:matt/underworld/01: 672 208
:matt/underworld/01: 640 0
:matt/underworld/01: 704 0
:matt/underworld/01: 768 0
:matt/underworld/01: 832 0
:matt/underworld/01: 896 0
:matt/underworld/01: 960 0
:matt/underworld/01: 1024 0
:matt/underworld/01: 1088 0
:geoo/steel/dark_32x32o.S: 704 32
:matt/underworld/02: 640 32
:matt/underworld/02: 608 112
:matt/underworld/02: 608 304
:matt/underworld/02: 608 208
:matt/underworld/01: 832 336
:matt/underworld/01: 1024 336
:matt/underworld/00: 800 352
:matt/underworld/01: 896 336
:matt/underworld/01: 896 368
:matt/underworld/01: 736 112
:matt/underworld/01: 736 144
:matt/underworld/01: 736 176
:matt/underworld/01: 736 208
:geoo/construction/pillar_bottom: 1024 320
:geoo/construction/pillar_32: 1024 296
:geoo/construction/pillar_32: 1024 264
:geoo/construction/pillar_top_shaded: 1024 248
:matt/underworld/01: 1056 232
:geoo/construction/pillar_base: 1008 232
:matt/underworld/00: 928 32
:matt/underworld/01: 1088 336
:matt/underworld/01: 1088 368
:matt/underworld/01: 1280 368
:matt/underworld/00: 1184 96
:matt/underworld/00: 1232 208
:matt/underworld/01: 1152 0
:matt/underworld/01: 1216 0
:matt/underworld/01: 1280 0
:matt/underworld/01: 1344 0
:matt/underworld/01: 1408 0
:matt/underworld/01: 1472 0
:matt/underworld/01: 1536 0
:matt/underworld/01: 1600 0
:matt/underworld/01: 1664 0
:matt/underworld/02: 1920 0
:matt/underworld/02: 1920 96
:matt/underworld/02: 1920 192
:matt/underworld/01: 1856 368
:matt/underworld/02: 1920 288
:matt/underworld/00: 1920 384
:matt/underworld/02: 1984 0
:matt/underworld/02: 1984 96
:matt/underworld/02: 1984 192
:matt/underworld/02: 1984 288
:matt/underworld/00: 1984 384
:matt/underworld/02: 2048 0
:matt/underworld/02: 2048 96
:matt/underworld/02: 2048 192
:matt/underworld/02: 2048 288
:matt/underworld/00: 2048 384
:matt/underworld/02: 2112 0
:matt/underworld/02: 2112 96
:matt/underworld/02: 2112 192
:matt/underworld/02: 2112 288
:matt/underworld/00: 2112 384
:matt/underworld/02: 2176 0
:matt/underworld/02: 2176 96
:matt/underworld/02: 2176 192
:matt/underworld/02: 2176 288
:matt/underworld/00: 2176 384
:matt/underworld/02: 2240 0
:matt/underworld/02: 2240 96
:matt/underworld/02: 2240 192
:matt/underworld/02: 2240 288
:matt/underworld/00: 2240 384
:matt/underworld/02: 2304 0
:matt/underworld/02: 2304 96
:matt/underworld/02: 2304 192
:matt/underworld/02: 2304 288
:matt/underworld/00: 2304 384
:matt/underworld/02: 2368 0
:matt/underworld/02: 2368 96
:matt/underworld/02: 2368 192
:matt/underworld/02: 2368 288
:matt/underworld/00: 2368 384
:matt/underworld/02: 2432 0
:matt/underworld/02: 2432 96
:matt/underworld/02: 2432 192
:matt/underworld/02: 2432 288
:matt/underworld/00: 2432 384
:matt/underworld/02: 2496 0
:matt/underworld/02: 2496 96
:matt/underworld/02: 2496 192
:matt/underworld/02: 2496 288
:matt/underworld/00: 2496 384
:matt/underworld/01: 1728 0
:matt/underworld/01: 1792 0
:matt/underworld/01: 1856 0
:matt/underworld/00: 1248 96
:matt/underworld/00: 1296 208
:matt/underworld/00: 1312 96
:matt/underworld/00: 1360 208
:matt/underworld/00: 1376 96
:matt/underworld/00: 1424 208
:matt/underworld/00: 1440 96
:matt/underworld/00: 1488 208
:matt/underworld/00: 1504 96
:matt/underworld/00: 1552 208
:matt/underworld/00: 1568 96
:matt/underworld/00: 1616 208
:matt/underworld/00: 1632 96
:matt/underworld/00: 1680 208
:matt/underworld/00: 1744 208
:matt/underworld/00: 1808 208
:matt/underworld/00: 1760 96
:matt/underworld/00: 1792 112
:matt/underworld/00: 1824 96
:geoo/steel/dark_48x32o.S: 1856 96
:matt/underworld/00: 1776 224
:matt/underworld/00: 1840 224
:geoo/steel/dark_48x32o.S: 1856 208
:matt/underworld/00: 1216 112
:matt/underworld/00: 1280 112
