$BUILT 2015-08-26 21:49:56
$AUTHOR Michael S. Repton
$GERMAN 
$ENGLISH Think Inside the Box

#SIZE_X 960
#SIZE_Y 640
#TORUS_X 1
#TORUS_Y 1
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 400
#REQUIRED 384
#SPAWN_INTERVAL 4
#SPAWN_INTERVAL_FAST 4

#WALKER 1
#CLIMBER 1
#FLOATER 5
#BLOCKER 1
#BUILDER 1
#PLATFORMER 5
#BASHER 5
#MINER 5
#DIGGER 1
#CUBER 5

:matt/goldmine/GoalTop.D: 560 32

:geoo/abstract/hatch.H: 56 64
:matt/goldmine/Hatch.H: 368 80
:simon/hatch001.H: 96 248
:matt/marble/Hatch.H: 384 208
:geoo/abstract/hatch.H: 688 48
:geoo/abstract/hatch.H: 736 320
:geoo/construction/Hatch.H: 48 424
:geoo/sandstone/Hatch.H: 432 416

:geoo/abstract/goal.G: 264 32
:matt/goldmine/Goal.G: 560 80
:simon/tapir/goal.G: 64 264
:matt/marble/Goal.G: 544 336
:geoo/abstract/goal.G: 880 208
:geoo/construction/Goal2.G: 640 544
:geoo/construction/Goal2.G: 248 576
:geoo/sandstone/Goal.G: 448 576

:geoo/construction/factory.T: 336 208
:geoo/construction/factory.T: 576 256

:matt/water.W: 16 160
:matt/water.W: 48 160
:matt/water.W: 80 160
:matt/water.W: 112 160
:matt/water.W: 144 160
:matt/water.W: 176 160
:matt/water.W: 208 160
:matt/water.W: 240 160
:matt/water.W: 288 160
:proxima/flame.F: 232 264
:simon/acid.W: 16 344
:simon/acid.W: 64 344
:simon/acid.W: 112 344
:simon/acid.W: 160 344
:simon/acid.W: 208 344
:simon/acid.W: 256 344
:proxima/flame.F: 336 144
:matt/water.W: 640 256
:matt/water.W: 736 256
:matt/water.W: 896 608
:matt/water.W: 928 608

:geoo/shadow/wall/left: 48 128
:geoo/shadow/wall/center: 80 128
:geoo/shadow/wall/center: 112 128
:geoo/shadow/wall/center: 144 128
:geoo/shadow/wall/center: 176 128
:geoo/shadow/wall/center: 176 96
:geoo/shadow/wall/center: 208 96
:geoo/shadow/wall/center: 240 96
:geoo/shadow/wall/center: 208 128
:geoo/shadow/wall/center: 240 128
:geoo/steel/dark_32x16o.S: 80 192
:geoo/steel/dark_32x16o.S: 112 192
:geoo/steel/dark_32x16o.S: 144 192
:geoo/steel/dark_32x16o.S: 176 192
:geoo/steel/dark_32x16o.S: 16 192
:geoo/steel/dark_32x16o.S: 48 192
:geoo/steel/dark_32x16o.S: 208 192
:geoo/steel/dark_32x16o.S: 240 192
:geoo/steel/dark_32x16o.S: 272 192
:geoo/shadow/pillar_verti_32: 64 160
:geoo/shadow/pillar_verti_32: 168 160
:geoo/shadow/pillar_verti_32: 272 160
:geoo/steel/dark_16x32o.S: 320 144
:geoo/steel/dark_16x32o.S: 320 112
:geoo/steel/dark_16x32o.S: 320 80
:geoo/steel/dark_16x32o.S: 320 48
:geoo/steel/dark_16x32o.S: 320 16
:geoo/steel/dark_32x16o.S: 64 0
:geoo/steel/dark_32x16o.S: 96 0
:geoo/steel/dark_32x16o.S: 128 0
:geoo/steel/dark_32x16o.S: 160 0
:geoo/steel/dark_32x16o.S: 0 0
:geoo/steel/dark_32x16o.S: 32 0
:geoo/steel/dark_32x16o.S: 192 0
:geoo/steel/dark_32x16o.S: 224 0
:geoo/steel/dark_32x16o.S: 256 0
:geoo/steel/dark_32x16o.S: 288 0
:geoo/steel/dark_32x16o.S: 320 0
:geoo/steel/dark_16x32o.S: 0 80
:geoo/steel/dark_16x32o.S: 0 48
:geoo/steel/dark_16x32o.S: 0 16
:geoo/steel/dark_16x32o.S: 0 144
:geoo/steel/dark_16x32o.S: 0 112
:geoo/shadow/wall/right: 272 96
:geoo/shadow/wall/right: 272 128
:geoo/shadow/wall/left: 144 96
:geoo/steel/dark_16x32o.S: 0 336
:geoo/steel/dark_16x32o.S: 0 304
:geoo/steel/dark_16x32o.S: 0 272
:geoo/steel/dark_16x32o.S: 0 240
:geoo/steel/dark_16x32o.S: 0 208
:geoo/steel/dark_32x16o.S: 80 384
:geoo/steel/dark_32x16o.S: 112 384
:geoo/steel/dark_32x16o.S: 144 384
:geoo/steel/dark_32x16o.S: 176 384
:geoo/steel/dark_32x16o.S: 16 384
:geoo/steel/dark_32x16o.S: 48 384
:geoo/steel/dark_32x16o.S: 208 384
:geoo/steel/dark_32x16o.S: 240 384
:geoo/steel/dark_32x16o.S: 272 384
:geoo/steel/dark_32x16o.S: 304 384
:geoo/steel/dark_16x32o.S: 320 352
:geoo/steel/dark_16x32o.S: 320 320
:geoo/steel/dark_16x32o.S: 320 288
:geoo/steel/dark_16x32o.S: 320 256
:geoo/steel/dark_16x32o.S: 320 224
:geoo/steel/dark_16x32o.S: 0 176
:geoo/steel/dark_16x32o.S: 0 368
:geoo/steel/dark_32x16o.S: 384 0
:geoo/steel/dark_32x16o.S: 416 0
:geoo/steel/dark_32x16o.S: 448 0
:geoo/steel/dark_32x16o.S: 480 0
:geoo/steel/dark_32x16o.S: 352 0
:geoo/steel/dark_32x16o.S: 512 0
:geoo/steel/dark_32x16o.S: 544 0
:geoo/steel/dark_32x16o.S: 576 0
:geoo/steel/dark_32x16o.S: 608 0
:geoo/steel/dark_16x32o.S: 624 144
:geoo/steel/dark_16x32o.S: 624 112
:geoo/steel/dark_16x32o.S: 624 80
:geoo/steel/dark_16x32o.S: 624 48
:geoo/steel/dark_16x32o.S: 624 16
:geoo/steel/dark_16x32o.S: 624 176
:geoo/steel/dark_16x32o.S: 624 336
:geoo/steel/dark_16x32o.S: 624 304
:geoo/steel/dark_16x32o.S: 624 272
:geoo/steel/dark_16x32o.S: 624 240
:geoo/steel/dark_16x32o.S: 624 208
:geoo/steel/dark_16x32o.S: 624 368
:geoo/steel/dark_32x16o.S: 368 384
:geoo/steel/dark_32x16o.S: 400 384
:geoo/steel/dark_32x16o.S: 432 384
:geoo/steel/dark_32x16o.S: 464 384
:geoo/steel/dark_32x16o.S: 336 384
:geoo/steel/dark_32x16o.S: 496 384
:geoo/steel/dark_32x16o.S: 528 384
:geoo/steel/dark_32x16o.S: 560 384
:geoo/steel/dark_32x16o.S: 592 384
:geoo/steel/dark_32x16o.S: 400 192
:geoo/steel/dark_32x16o.S: 432 192
:geoo/steel/dark_32x16o.S: 464 192
