$BUILT 2024-06-16 21:07:09
$AUTHOR Proxima
$ENGLISH Pipe Dream

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1536
#SIZE_Y 400

#INITIAL 20
#REQUIRED 10
#SPAWN_INTERVAL 24

#BUILDER 25
#BASHER 25
#EXPLODER2 0

:matt/marble/Hatch.H: 192 24

:proxima/tile/goal.G: 192 208

:proxima/tile/cyan1b: 1056 272
:proxima/tile/spheres/blue: 704 -24
:proxima/tile/spheres/blue: 704 0
:proxima/tile/spheres/blue: 704 56
:proxima/tile/spheres/blue: 696 24
:proxima/tile/spheres/blue: 696 72
:proxima/tile/spheres/blue: 672 88
:proxima/tile/spheres/blue: 648 88
:proxima/tile/spheres/blue: 624 80
:proxima/tile/blue1b: 488 64
:proxima/tile/spheres/blue: 592 72
:proxima/tile/spheres/blue: 568 56
:proxima/tile/spheres/blue: 552 40
:proxima/tile/blue1b: 424 0
:proxima/tile/blue1a: 424 64
:proxima/tile/spheres/blue: 528 32
:proxima/tile/spheres/blue: 504 32
:proxima/tile/spheres/blue: 480 40
:proxima/tile/spheres/blue: 464 48
:proxima/tile/cyan2: 400 96
:proxima/tile/spheres/blue: 448 64
:proxima/tile/blue1a: 488 128
:proxima/tile/spheres/blue: 440 80
:proxima/tile/spheres/blue: 432 96
:proxima/tile/spheres/blue: 408 112
:proxima/tile/spheres/blue: 384 104
:proxima/tile/cyan2: 336 96
:proxima/tile/spheres/blue: 360 96
:proxima/tile/spheres/blue: 344 104
:proxima/tile/spheres/blue: 328 120
:proxima/tile/spheres/blue: 320 136
:proxima/tile/spheres/blue: 320 152
:proxima/tile/spheres/blue: 336 176
:proxima/tile/spheres/blue: 360 200
:proxima/tile/cyan1: 336 272
:proxima/tile/cyan1: 272 272
:proxima/tile/cyan1: 400 272
:proxima/tile/spheres/blue: 368 232
:proxima/tile/spheres/blue: 360 256
:proxima/tile/spheres/blue: 344 272
:proxima/tile/spheres/blue: 320 288
:proxima/tile/spheres/blue: 304 304
:proxima/tile/cyan2: 256 352
:proxima/tile/spheres/blue: 296 320
:proxima/tile/spheres/blue: 288 344
:proxima/tile/cyan1: 208 272
:proxima/tile/cyan1: 144 272
:proxima/tile/spheres/blue: 288 368
:proxima/tile/blue1b: 48 -48
:proxima/tile/blue1b: 64 32
:proxima/tile/blue2a: 48 16
:proxima/tile/blue1b: 96 112
:proxima/tile/cyan2: 80 96
:proxima/tile/blue2b: 32 112
:proxima/tile/blue2a: 64 96
:proxima/tile/blue1b: 112 192
:proxima/tile/blue2b: 48 192
:proxima/tile/blue2a: 96 176
:proxima/tile/blue2a: 128 336
:proxima/tile/blue1b: 128 272
:proxima/tile/blue2b: 64 272
:proxima/tile/blue1a: 48 256
:proxima/tile/blue2a: 112 256
:proxima/tile/blue1a: 64 336
:proxima/tile/cyan2: 192 352
:proxima/tile/cyan2: 128 352
:proxima/tile/blue1a: 360 0
:proxima/tile/blue2b: 536 144
:proxima/tile/spheres/red: 632 200
:proxima/tile/blue1a: 616 256
:proxima/tile/blue2b: 624 256
:proxima/tile/blue2a: 688 256
:proxima/tile/blue2b: 688 192
:proxima/tile/blue2a: 752 192
:proxima/tile/spheres/red: 656 192
:proxima/tile/blue2a: 536 208
:proxima/tile/blue2b: 472 208
:proxima/tile/cyan1: 464 272
:proxima/tile/blue2b: 408 272
:proxima/tile/blue2b: 344 336
:proxima/tile/cyan1: 528 272
:proxima/tile/blue2a: 472 272
:proxima/tile/blue2a: 408 336
:proxima/tile/spheres/red: 544 280
