$BUILT 2014-06-29 01:35:23
$AUTHOR Michael S. Repton
$GERMAN 
$ENGLISH Pipe Dream

#SIZE_X 2080
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 80
#REQUIRED 40
#SPAWN_INTERVAL 24
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#BUILDER 20
#PLATFORMER 20
#NOTHING 0
#BASHER 20
#MINER 10
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 192 144

:proxima/tile/goal.G: 1776 208

:proxima/tile/spheres/blue: 704 -24
:proxima/tile/spheres/blue: 704 0
:proxima/tile/spheres/blue: 704 56
:proxima/tile/spheres/blue: 696 24
:proxima/tile/spheres/blue: 696 72
:proxima/tile/spheres/blue: 672 88
:proxima/tile/spheres/blue: 648 88
:proxima/tile/spheres/blue: 624 80
:proxima/tile/blue1b: 520 64
:proxima/tile/spheres/blue: 592 72
:proxima/tile/spheres/blue: 568 56
:proxima/tile/spheres/blue: 552 40
:proxima/tile/blue1b: 456 0
:proxima/tile/blue1a: 456 64
:proxima/tile/spheres/blue: 528 32
:proxima/tile/spheres/blue: 504 32
:proxima/tile/spheres/blue: 480 40
:proxima/tile/cyan1: 416 64
:proxima/tile/spheres/blue: 464 48
:proxima/tile/spheres/blue: 448 64
:proxima/tile/spheres/blue: 440 80
:proxima/tile/spheres/blue: 432 96
:proxima/tile/cyan1: 352 64
:proxima/tile/spheres/blue: 408 112
:proxima/tile/spheres/blue: 384 104
:proxima/tile/spheres/blue: 360 96
:proxima/tile/cyan1: 288 64
:proxima/tile/spheres/blue: 344 104
:proxima/tile/spheres/blue: 328 120
:proxima/tile/spheres/blue: 320 136
:proxima/tile/spheres/blue: 320 152
:proxima/tile/spheres/blue: 336 176
:proxima/tile/spheres/blue: 360 200
:proxima/tile/cyan1: 336 272
:proxima/tile/cyan1: 272 272
:proxima/tile/cyan1: 400 272
:proxima/tile/spheres/blue: 368 232
:proxima/tile/spheres/blue: 360 256
:proxima/tile/spheres/blue: 344 272
:proxima/tile/spheres/blue: 320 288
:proxima/tile/spheres/blue: 304 304
:proxima/tile/cyan2: 256 352
:proxima/tile/spheres/blue: 296 320
:proxima/tile/spheres/blue: 288 344
:proxima/tile/cyan1: 224 64
:proxima/tile/cyan1: 160 64
:proxima/tile/cyan1: 208 272
:proxima/tile/cyan1: 144 272
:proxima/tile/spheres/blue: 288 368
:proxima/tile/cyan1: 96 64
:proxima/tile/blue1b: 80 32
:proxima/tile/blue2b: 16 32
:proxima/tile/blue1b: 96 112
:proxima/tile/blue2b: 32 112
:proxima/tile/blue2a: 80 96
:proxima/tile/blue1a: 16 96
:proxima/tile/blue1b: 112 192
:proxima/tile/blue2b: 48 192
:proxima/tile/blue2a: 96 176
:proxima/tile/blue2a: 128 336
:proxima/tile/blue1b: 128 272
:proxima/tile/blue2b: 64 272
:proxima/tile/blue2a: 112 256
:proxima/tile/blue1a: 32 176
:proxima/tile/blue1b: 32 240
:proxima/tile/blue1a: 48 256
:proxima/tile/blue1a: 64 336
:geoo/steel/dark_64x32o.S: 160 272
:geoo/steel/dark_64x32o.S: 224 272
:proxima/tile/cyan2: 192 352
:proxima/tile/cyan2: 128 352
:proxima/tile/blue1b: 16 160
:proxima/tile/blue2b: -48 160
:proxima/tile/blue2a: 0 144
:proxima/tile/blue1b: 0 80
:proxima/tile/blue2b: -32 240
:proxima/tile/blue2a: 16 224
:proxima/tile/blue2a: 32 304
:proxima/tile/blue2b: 0 336
:proxima/tile/blue1a: 392 0
:proxima/tile/blue2b: 536 144
:proxima/tile/blue1a: 520 128
:proxima/tile/spheres/red: 600 208
:proxima/tile/blue2b: 624 256
:proxima/tile/blue2a: 688 256
:proxima/tile/blue2b: 688 192
:proxima/tile/spheres/red: 624 216
:proxima/tile/spheres/red: 648 184
:proxima/tile/blue2a: 752 192
:proxima/tile/spheres/red: 672 176
:proxima/tile/blue1b: 648 192
:proxima/tile/blue2a: 536 208
:proxima/tile/blue1b: 712 256
:proxima/tile/blue1a: 648 256
:proxima/tile/blue1a: 712 320
:proxima/tile/blue2b: 472 208
:proxima/tile/cyan1: 464 272
:proxima/tile/blue2b: 408 272
:proxima/tile/blue2b: 344 336
:proxima/tile/cyan1: 528 272
:proxima/tile/blue2a: 472 272
:proxima/tile/blue2a: 408 336
:proxima/tile/blue1a: -48 224
:proxima/tile/blue1a: -32 304
:proxima/tile/spheres/red: 544 280
:proxima/tile/blue2a: 624 320
:proxima/tile/spheres/pink: 568 312
:proxima/tile/spheres/pink: 528 320
:proxima/tile/spheres/pink: 488 328
:proxima/tile/spheres/pink: 448 344
:proxima/tile/spheres/pink: 408 360
:proxima/tile/spheres/pink: 600 320
:proxima/tile/spheres/pink: 712 376
:proxima/tile/spheres/pink: 480 360
:proxima/tile/spheres/pink: 528 352
:proxima/tile/spheres/pink: 568 344
:proxima/tile/spheres/red: 544 256
:proxima/tile/spheres/red: 552 232
:proxima/tile/spheres/red: 560 208
:proxima/tile/spheres/red: 584 136
:proxima/tile/spheres/red: 568 184
:proxima/tile/spheres/red: 592 104
:proxima/tile/blue1b: 584 128
:proxima/tile/blue1a: 584 192
:proxima/tile/spheres/red: 600 80
:proxima/tile/spheres/red: 616 56
:proxima/tile/spheres/red: 632 40
:proxima/tile/spheres/red: 648 32
:proxima/tile/spheres/red: 672 24
:proxima/tile/spheres/red: 696 24
:proxima/tile/spheres/red: 720 24
:proxima/tile/blue1a: 800 0
:proxima/tile/spheres/red: 744 32
:proxima/tile/spheres/red: 768 40
:proxima/tile/blue2b: 752 128
:proxima/tile/spheres/red: 704 176
:proxima/tile/spheres/red: 728 192
:proxima/tile/spheres/red: 744 216
:proxima/tile/blue2a: 728 320
:proxima/tile/spheres/red: 792 48
:proxima/tile/spheres/pink: 928 32
:proxima/tile/spheres/pink: 952 24
:proxima/tile/spheres/pink: 872 -16
:proxima/tile/spheres/pink: 888 8
:proxima/tile/blue1b: 864 0
:proxima/tile/cyan3a: 888 80
:proxima/tile/blue1b: 888 128
:proxima/tile/blue2b: 856 128
:proxima/tile/cyan3a: 888 112
:proxima/tile/blue1a: 864 64
:proxima/tile/spheres/red: 816 56
:proxima/tile/blue2a: 816 128
