$BUILT 2014-01-19 18:00:28
$AUTHOR Michael S. Repton
$GERMAN 
$ENGLISH Finale

#SIZE_X 640
#SIZE_Y 800
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 382
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 180
#INITIAL 40
#REQUIRED 36
#SPAWN_INTERVAL 12
#SPAWN_INTERVAL_FAST 4

#CLIMBER 1
#FLOATER 1
#EXPLODER 0
#BLOCKER 5
#BUILDER 5
#BASHER 1
#WALKER 1
#JUMPER 1
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 96 80
:geoo/construction/Hatch.H: 96 464

:matt/marble/Goal.G: 432 688

:geoo/construction/sawblade.F: 448 240
:geoo/construction/sawblade.F: 472 240
:geoo/construction/sawblade.F: 120 392
:geoo/construction/sawblade.F: 144 392
:geoo/construction/sawblade.F: 168 392
:geoo/construction/sawblade.F: 496 448
:geoo/construction/sawblade.F: 48 112

:geoo/steel/dark_64x64.S: 64 128
:geoo/steel/dark_64x64.S: 128 128
:geoo/sandstone/slopes/32x32rb: 64 192
:geoo/sandstone/slopes/32x32lb: 96 192
:geoo/sandstone/slopes/32x32rt: 64 224
:geoo/sandstone/slopes/32x32lt: 96 224
:geoo/sandstone/slopes/32x32rb: 64 256
:geoo/sandstone/slopes/32x32lb: 96 256
:geoo/sandstone/slopes/32x32rt: 64 288
:geoo/sandstone/slopes/32x32lt: 96 288
:geoo/construction/concrete/032a: 192 224
:geoo/construction/concrete/032c: 192 288
:geoo/construction/concrete/032: 352 256
:geoo/construction/concrete/032b: 416 224
:geoo/construction/concrete/032d: 416 288
:geoo/construction/concrete/032c: 352 192
:geoo/construction/concrete/032a: 352 128
:geoo/construction/concrete/032: 384 128
:geoo/construction/concrete/032b: 416 128
:geoo/construction/concrete/032d: 416 192
:geoo/construction/concrete/032: 352 160
:geoo/construction/concrete/032: 416 160
:geoo/construction/concrete/032a: 256 384
:geoo/construction/concrete/032c: 256 480
:geoo/construction/concrete/032b: 352 384
:geoo/construction/concrete/032d: 352 480
:geoo/steel/dark_64x64o.S: 64 384
:geoo/construction/concrete/032a: 64 512
:geoo/construction/concrete/032c: 64 576
:geoo/construction/concrete/032: 128 544
:geoo/construction/concrete/032b: 192 512
:geoo/construction/concrete/032d: 192 576
:geoo/construction/concrete/032: 256 256
:geoo/construction/concrete/032: 304 224
:geoo/construction/concrete/032: 304 288
:geoo/sandstone/slopes/32x32rb: 448 128
:geoo/sandstone/slopes/32x32lb: 480 128
:geoo/sandstone/slopes/32x32rt: 448 160
:geoo/sandstone/slopes/32x32lt: 480 160
:geoo/construction/concrete/032h: 240 224
:geoo/construction/concrete/032h: 336 224
:geoo/construction/concrete/032h: 240 288
:geoo/construction/concrete/032h: 336 288
:geoo/construction/concrete/032: 384 192
:geoo/construction/concrete/016v: 224 224
:geoo/construction/concrete/016v: 224 288
:geoo/construction/concrete/016v: 400 224
:geoo/construction/concrete/016v: 400 288
:geoo/construction/concrete/032h: 192 256
:geoo/construction/concrete/032h: 384 256
:geoo/construction/concrete/032h: 288 256
:geoo/construction/concrete/032h: 288 384
:geoo/construction/concrete/032h: 288 480
:geoo/construction/concrete/032h: 112 512
:geoo/construction/concrete/016v: 96 512
:geoo/construction/concrete/032h: 112 576
:geoo/construction/concrete/016v: 96 576
:geoo/construction/concrete/016v: 176 512
:geoo/construction/concrete/016v: 176 576
:geoo/construction/concrete/032h: 64 544
:geoo/construction/concrete/032h: 160 544
:geoo/construction/fence_rust_64x64: 0 0
:geoo/construction/fence_rust_64x64: 64 0
:geoo/construction/fence_rust_64x64: 128 0
:geoo/construction/fence_rust_64x64: 192 0
:geoo/construction/fence_rust_64x64: 256 0
:geoo/construction/fence_rust_64x64: 320 0
:geoo/construction/fence_rust_64x64: 384 0
:geoo/construction/fence_rust_64x64: 448 0
:geoo/construction/fence_rust_64x64: 512 0
:geoo/construction/fence_rust_64x64: 576 0
:geoo/construction/fence_rust_64x64: 0 64
:geoo/construction/fence_rust_64x64: 0 128
:geoo/construction/fence_rust_64x64: 0 192
:geoo/construction/fence_rust_64x64: 0 256
:geoo/construction/fence_rust_64x64: 0 320
:geoo/construction/fence_rust_64x64: 576 64
:geoo/construction/fence_rust_64x64: 576 128
:geoo/construction/fence_rust_64x64: 576 192
:geoo/construction/fence_rust_64x64: 576 256
:geoo/construction/fence_rust_64x64: 576 320
:geoo/construction/fence_rust_64x64: 0 384
:geoo/construction/fence_rust_64x64: 0 448
:geoo/construction/fence_rust_64x64: 0 512
:geoo/construction/fence_rust_64x64: 0 576
:geoo/construction/fence_rust_64x64: 0 640
:geoo/construction/fence_rust_64x64: 576 384
:geoo/construction/fence_rust_64x64: 576 448
:geoo/construction/fence_rust_64x64: 576 512
:geoo/construction/fence_rust_64x64: 576 576
:geoo/construction/fence_rust_64x64: 576 640
:geoo/construction/fence_rust_64x64: 0 736
:geoo/construction/fence_rust_64x64: 576 736
:geoo/construction/fence_rust_32x32: 0 704
:geoo/construction/fence_rust_32x32: 32 704
:geoo/construction/fence_rust_32x32: 576 704
:geoo/construction/fence_rust_32x32: 608 704
:geoo/construction/fence_rust_64x64: 64 736
:geoo/construction/fence_rust_64x64: 128 736
:geoo/construction/fence_rust_64x64: 192 736
:geoo/construction/fence_rust_64x64: 256 736
:geoo/construction/fence_rust_64x64: 320 736
:geoo/construction/fence_rust_64x64: 384 736
:geoo/construction/fence_rust_64x64: 448 736
:geoo/construction/fence_rust_64x64: 512 736
:matt/marble/04e_1: 64 48
:matt/marble/04e_2: 96 48
:matt/marble/04e_2: 160 48
:matt/marble/04e_1: 128 48
:matt/marble/04e_1: 256 48
:matt/marble/04e_1: 192 48
:matt/marble/04e_2: 224 48
:matt/marble/04e_2: 288 48
:matt/marble/04e_1: 384 48
:matt/marble/04e_1: 320 48
:matt/marble/04e_2: 352 48
:matt/marble/04e_2: 416 48
:matt/marble/04e_1: 512 48
:matt/marble/04e_1: 448 48
:matt/marble/04e_2: 480 48
:matt/marble/04e_2: 544 48
:matt/marble/02e: 48 48
:matt/marble/02e_2: 576 48
:matt/marble/03e_1: 48 64
:matt/marble/03e_2: 48 96
:matt/marble/03e_1: 48 128
:matt/marble/03e_2: 48 160
:matt/marble/03e_1: 48 192
:matt/marble/03e_2: 48 224
:matt/marble/03e_2: 48 416
