$BUILT 2014-11-07 18:00:53
$AUTHOR Akseli
$GERMAN 
$ENGLISH Planet Dulux

#SIZE_X 968
#SIZE_Y 622
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 20
#REQUIRED 19
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#WALKER 1
#JUMPER 2
#CLIMBER 2
#CUBER 0
#EXPLODER2 1
#BLOCKER 1
#BATTER 1
#BUILDER 2
#PLATFORMER 2
#BASHER 2
#MINER 2
#DIGGER 1

:amanda/occult/hatch_tentacle.H: 546 270

:amanda/occult/goal_skull.G: 468 152

:amanda/steel/steel32x32.S: 324 152
:amanda/steel/steel32x32.S: 356 152
:amanda/steel/steel32x32.S: 388 152
:amanda/steel/steel32x32.S: 420 152
:amanda/steel/steel32x32.S: 452 152
:amanda/steel/steel32x32.S: 484 152
:amanda/steel/steel32x32.S: 516 152
:amanda/steel/steel32x32.S: 548 152
:amanda/steel/steel32x32.S: 324 376
:amanda/steel/steel32x32.S: 356 440
:amanda/steel/steel32x32.S: 388 440
:amanda/steel/steel32x32.S: 420 440
:amanda/steel/steel32x32.S: 452 440
:amanda/steel/steel32x32.S: 484 440
:amanda/steel/steel32x32.S: 516 440
:amanda/steel/steel32x32.S: 548 440
:amanda/steel/steel32x32.S: 324 184
:amanda/steel/steel32x32.S: 324 216
:amanda/steel/steel32x32.S: 324 248
:amanda/steel/steel32x32.S: 324 280
:amanda/steel/steel32x32.S: 612 248
:amanda/steel/steel32x32.S: 612 280
:amanda/steel/steel32x32.S: 612 312
:amanda/steel/steel32x32.S: 612 344
:amanda/steel/steel32x32.S: 324 312
:amanda/steel/steel32x32.S: 324 344
:amanda/steel/steel32x32.S: 612 376
:amanda/steel/steel32x32.S: 612 408
:amanda/steel/steel32x32.S: 324 440
:amanda/steel/steel32x32.S: 324 408
:amanda/steel/steel32x32.S: 580 440
:amanda/steel/steel32x32.S: 612 440
:amanda/steel/steel32x32.S: 580 152
:amanda/steel/steel32x32.S: 612 152
:amanda/steel/steel32x32.S: 612 184
:amanda/steel/steel32x32.S: 612 216
:amanda/occult/cube: 356 248
:amanda/occult/cube: 356 264
:amanda/occult/cube: 372 248
:amanda/occult/cube: 372 264
:amanda/occult/cube: 388 296
:amanda/occult/cube: 420 328
:amanda/occult/cube: 404 280
:amanda/occult/cube: 404 328
:amanda/occult/cube: 420 280
:amanda/occult/cube: 436 264
:amanda/occult/cube: 420 264
:amanda/occult/cube: 452 264
:amanda/occult/cube: 372 328
:amanda/occult/cube: 484 296
:amanda/occult/cube: 500 280
:amanda/occult/cube: 500 296
:amanda/occult/cube: 388 408
:amanda/occult/cube: 388 424
:amanda/occult/cube: 404 408
:amanda/occult/cube: 404 424
:amanda/occult/cube: 484 328
:amanda/occult/cube: 420 392
:amanda/occult/cube: 436 376
:amanda/occult/cube: 436 392
:amanda/occult/cube: 500 248
:amanda/occult/cube: 516 264
:amanda/occult/cube: 564 264
:amanda/occult/cube: 452 376
:amanda/occult/cube: 452 392
:amanda/occult/cube: 436 248
:amanda/occult/cube: 468 392
:amanda/occult/cube: 452 360
:amanda/occult/cube: 468 344
:amanda/occult/cube: 468 360
:amanda/occult/cube: 388 232
:amanda/occult/cube: 404 216
:amanda/occult/cube: 404 232
:amanda/occult/cube: 484 344
:amanda/occult/cube: 500 408
:amanda/occult/cube: 500 344
:amanda/occult/cube: 500 360
:amanda/occult/cube: 564 296
:amanda/occult/cube: 580 296
:amanda/occult/cube: 548 264
:amanda/occult/cube: 596 296
:amanda/occult/cube: 388 184
:amanda/occult/cube: 388 200
:amanda/occult/cube: 372 184
:amanda/occult/cube: 372 200
:amanda/occult/cube: 548 216
:amanda/occult/cube: 548 232
:amanda/occult/cube: 564 216
:amanda/occult/cube: 580 248
:amanda/occult/cube: 484 408
:amanda/occult/cube: 500 424
:amanda/occult/cube: 484 392
:amanda/occult/cube: 580 424
:amanda/occult/cube: 548 408
:amanda/occult/cube: 564 392
:amanda/occult/cube: 596 424
:amanda/occult/cube: 436 280
:amanda/occult/cube: 564 376
:amanda/occult/cube: 580 376
:amanda/occult/cube: 580 360
:amanda/occult/cube: 516 280
:amanda/occult/cube: 516 296
:amanda/occult/cube: 532 296
:amanda/occult/cube: 548 312
:amanda/occult/cube: 548 328
:amanda/occult/cube: 564 312
:amanda/occult/cube: 564 328
:amanda/occult/cube: 516 184
:amanda/occult/cube: 516 232
:amanda/occult/cube: 532 184
:amanda/occult/cube: 532 232
:amanda/occult/cube: 420 216
:amanda/occult/cube: 356 312
:amanda/occult/cube: 436 216
:amanda/occult/cube: 580 264
:amanda/occult/cube: 468 184
