$BUILT 2019-02-26 21:07:07
$AUTHOR Nortaneous
$ENGLISH Castles in the Sky

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#INITIAL 80
#REQUIRED 55
#SPAWN_INTERVAL 60

#CLIMBER 10
#FLOATER 10
#EXPLODER 15
#BLOCKER 15
#BUILDER 20
#PLATFORMER 15

:matt/marble/Hatch.H: 32 -12

:matt/marble/Goal.G: 544 0

:simon/water.W: 232 304
:simon/water.W: 360 304
:simon/water.W: 392 300
:simon/water.W: 200 290
:simon/water.W: 248 290
:simon/water.W: 296 290
:simon/water.W: 344 290
:simon/water.W: 392 290

:matt/marble/001d: 260 288
:matt/marble/001d: 260 272
:matt/marble/001d: 260 256
:matt/marble/001d: 260 240
:matt/marble/001d: 260 224
:matt/marble/001d: 260 208
:matt/marble/001d: 260 192
:matt/marble/001d: 260 176
:matt/marble/001d: 260 160
:matt/marble/001d: 260 144
:matt/marble/001d: 260 128
:matt/marble/001d: 288 256
:matt/marble/001d: 344 256
:matt/marble/001d: 344 240
:matt/marble/001d: 344 224
:matt/marble/001d: 344 208
:matt/marble/001d: 344 192
:matt/marble/001d: 344 176
:matt/marble/001d: 344 160
:matt/marble/001d: 344 144
:matt/marble/001d: 344 128
:matt/marble/001d: 372 288
:matt/marble/001d: 372 272
:matt/marble/001d: 372 256
:matt/marble/001d: 372 240
:matt/marble/001d: 372 224
:matt/marble/001d: 372 208
:matt/marble/001d: 372 192
:matt/marble/001d: 372 176
:matt/marble/001d: 372 160
:matt/marble/001d: 372 144
:matt/marble/001d: 372 128
:matt/marble/001d: 260 112
:matt/marble/001d: 260 96
:matt/marble/001d: 260 80
:matt/marble/001d: 260 64
:matt/marble/001d: 260 48
:matt/marble/001d: 260 32
:matt/marble/001d: 344 112
:matt/marble/001d: 344 96
:matt/marble/001d: 344 80
:matt/marble/001d: 344 64
:matt/marble/001d: 344 48
:matt/marble/001d: 344 32
:matt/marble/001d: 372 112
:matt/marble/001d: 372 96
:matt/marble/001d: 372 80
:matt/marble/001d: 372 64
:matt/marble/001d: 372 48
:matt/marble/001d: 372 32
:matt/marble/001d: 260 16
:matt/marble/001d: 260 0
:matt/marble/001d: 344 16
:matt/marble/001d: 344 0
:matt/marble/001d: 372 16
:matt/marble/001d: 372 0
:matt/marble/08b: 0 352
:matt/marble/08b: 64 352
:matt/marble/08b: 128 352
:matt/marble/08b: 192 352
:matt/marble/08b: 256 352
:matt/marble/08b: 320 352
:matt/marble/08b: 384 352
:matt/marble/08b: 448 352
:matt/marble/08b: 512 352
:matt/marble/08b: 576 352
:matt/marble/08b: -32 384
:matt/marble/08b: 32 384
:matt/marble/08b: 96 384
:matt/marble/08b: 160 384
:matt/marble/08b: 224 384
:matt/marble/08b: 288 384
:matt/marble/08b: 352 384
:matt/marble/08b: 416 384
:matt/marble/08b: 480 384
:matt/marble/08b: 544 384
:matt/marble/08b: 608 384
:matt/marble/14b: 0 320
:matt/marble/14b: 32 288
:matt/marble/16b: 64 288
:matt/marble/16b: 96 320
:matt/marble/08b: 32 320
:matt/marble/14b: 128 320
:matt/marble/14b: 160 288
:matt/marble/16b: 192 288
:matt/marble/16b: 224 320
:matt/marble/08b: 160 320
:matt/marble/14b: 256 320
:matt/marble/14b: 288 288
:matt/marble/16b: 320 288
:matt/marble/16b: 352 320
:matt/marble/08b: 288 320
:matt/marble/14b: 384 320
:matt/marble/14b: 416 288
:matt/marble/16b: 448 288
:matt/marble/16b: 480 320
:matt/marble/08b: 416 320
:matt/marble/14b: 512 320
:matt/marble/14b: 544 288
:matt/marble/16b: 576 288
:matt/marble/16b: 608 320
:matt/marble/08b: 544 320
:matt/marble/001d: 372 304
:matt/marble/001d: 260 304
:matt/marble/001d: 288 272
:matt/marble/001d: 344 272
:matt/marble/15b: 590 48
:matt/marble/17b: 530 48
:matt/marble/001d: 288 240
:matt/marble/001d: 288 224
:matt/marble/001d: 288 208
:matt/marble/001d: 288 192
:matt/marble/001d: 288 176
:matt/marble/001d: 288 160
:matt/marble/001d: 288 144
:matt/marble/001d: 288 128
:matt/marble/001d: 288 112
:matt/marble/001d: 288 96
:matt/marble/001d: 288 80
:matt/marble/001d: 288 64
:matt/marble/001d: 288 48
:matt/marble/001d: 288 32
:matt/marble/001d: 288 16
:matt/marble/001d: 288 0
:matt/marble/001d: 316 240
:matt/marble/001d: 316 224
:matt/marble/001d: 316 208
:matt/marble/001d: 316 192
:matt/marble/001d: 316 176
:matt/marble/001d: 316 160
:matt/marble/001d: 316 144
:matt/marble/001d: 316 128
:matt/marble/001d: 316 112
:matt/marble/001d: 316 96
:matt/marble/001d: 316 80
:matt/marble/001d: 316 64
:matt/marble/001d: 316 48
:matt/marble/001d: 316 32
:matt/marble/001d: 316 16
:matt/marble/001d: 316 0
:matt/marble/13b: 574 48
:matt/marble/11b: 562 48
