$FILENAME single/sonst/culledlevels/thepicardmaneuver.txt
$LEVEL_BUILT_REQUIRED 2014-06-01 19:46:31
$GAME_VERSION_REQUIRED 0.9.17

+PLAYER 0 Garden Forestidia

! 133 0 ASSIGN=MINER 0
! 315 0 ASSIGN=FLOATER 1
! 325 0 ASSIGN=WALKER 1
! 326 0 ASSIGN=CLIMBER 1
! 589 0 ASSIGN=DIGGER 1
! 620 0 ASSIGN=BLOCKER 10
! 960 0 ASSIGN=BASHER 1
! 2955 0 NUKE 0

$BUILT 2014-06-01 19:46:31
$AUTHOR mobius/I.S.
$ENGLISH The Picard Maneuver

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 392

#INITIAL 60
#REQUIRED 59
#SPAWN_INTERVAL 40

#WALKER 1
#CLIMBER 1
#FLOATER 1
#BLOCKER 1
#BASHER 1
#MINER 1
#DIGGER 1
#EXPLODER2 0

:matt/bricks/Hatch.H: 80 0

:matt/bricks/Goal.G: 32 320

:matt/bricks/03b: 384 208
:matt/bricks/03b: 320 208
:matt/bricks/03b: 256 208
:matt/bricks/03b: 192 208
:matt/bricks/03b: 192 128
:matt/bricks/03b: 256 128
:matt/bricks/03b: 320 128
:matt/bricks/03b: 384 128
:matt/bricks/03b: 192 64
:matt/bricks/01a: 176 96
:matt/bricks/03b: 256 64
:matt/bricks/03b: 320 64
:matt/bricks/03b: 384 64
:matt/bricks/02b: 448 368
:matt/bricks/02b: 512 368
:matt/bricks/02b: 576 368
:geoo/steel/dark_64x64o.S: 128 64
:geoo/steel/dark_64x64o.S: 64 64
:geoo/steel/dark_64x64o.S: 0 64
:geoo/steel/dark_64x64o.S: 0 0
:matt/bricks/01b: 496 0
:matt/bricks/01b: 512 16
:matt/bricks/01b: 480 16
:matt/bricks/01b: 496 32
:matt/bricks/03b: 192 272
:matt/bricks/03b: 256 272
:matt/bricks/03b: 320 272
:matt/bricks/03b: 384 272
:matt/bricks/02b: 128 368
:matt/bricks/02b: 0 368
:matt/bricks/02b: 64 368
:matt/bricks/03b: 192 336
:matt/bricks/03b: 256 336
:matt/bricks/03b: 320 336
:matt/bricks/03b: 384 336
:matt/bricks/01a: 368 96
:matt/bricks/01a: 272 64
:matt/bricks/01a: 304 144
:matt/bricks/01a: 224 224
:matt/bricks/01a: 224 320
:matt/bricks/01a: 384 256
:matt/bricks/01a: 336 304
:matt/bricks/01a: 288 256
:matt/bricks/01a: 416 176
:matt/bricks/01a: 208 160
:matt/bricks/01a: 304 368
:matt/bricks/01a: 144 368
:matt/bricks/01a: 544 384
:matt/bricks/01a: 64 128
:matt/bricks/01a: 32 160
:matt/bricks/01a: 48 144
:matt/bricks/01a: 48 176
:matt/bricks/01a: 32 192
:matt/bricks/01a: 512 16
:matt/bricks/01a: 480 16
:matt/bricks/01a: 496 32
:matt/bricks/01a: 496 0
:matt/bricks/01a: 528 0
:matt/bricks/01a: 240 0
:matt/bricks/01a: 256 16
:geoo/steel/dark_32x32o.S: 192 208
:geoo/steel/dark_32x32o.S: 416 64
:geoo/steel/dark_32x32o.S: 416 208
:geoo/steel/dark_32x32o.S: 192 64
:geoo/steel/dark_32x32o.S: 416 160
