$BUILT 2019-01-25 03:51:30
$AUTHOR mobius
$ENGLISH Builders Won't Help You Here

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1280
#SIZE_Y 272

#INITIAL 40
#REQUIRED 39
#SPAWN_INTERVAL 15

#CLIMBER 10
#BASHER 10
#DIGGER 10
#EXPLODER2 0

:geoo/abstract/hatch.H: 80 64

:geoo/abstract/goal.G: 1072 40

:geoo/abstract/cvblocks/046: 0 144
:geoo/abstract/cvblocks/046: 128 144
:geoo/abstract/cvblocks/046: 256 144
:geoo/abstract/cvblocks/046: 384 144
:geoo/abstract/cvblocks/046: 512 144
:geoo/abstract/cvblocks/035: 320 112
:geoo/abstract/cvblocks/035: 384 112
:geoo/abstract/cvblocks/035: 448 112
:geoo/abstract/cvblocks/035: 512 112
:geoo/abstract/cvblocks/035: 576 112
:geoo/abstract/cvblocks/035: 1024 112
:geoo/abstract/cvblocks/020: 192 128
:geoo/abstract/cvblocks/020: 224 128
:geoo/abstract/cvblocks/020: 256 128
:geoo/abstract/cvblocks/020: 288 128
:geoo/abstract/cvblocks/020: 448 96
:geoo/abstract/cvblocks/020: 480 96
:geoo/abstract/cvblocks/020: 512 96
:geoo/abstract/cvblocks/020: 544 96
:geoo/abstract/cvblocks/005: 192 120
:geoo/abstract/cvblocks/005: 208 120
:geoo/abstract/cvblocks/005: 224 120
:geoo/abstract/cvblocks/005: 240 120
:geoo/abstract/cvblocks/005: 256 120
:geoo/abstract/cvblocks/005: 240 120
:geoo/abstract/cvblocks/005: 256 120
:geoo/abstract/cvblocks/005: 272 120
:geoo/abstract/cvblocks/005: 288 120
:geoo/abstract/cvblocks/005: 304 120
:geoo/abstract/cvblocks/005: 320 104
:geoo/abstract/cvblocks/005: 336 104
:geoo/abstract/cvblocks/005: 352 104
:geoo/abstract/cvblocks/005: 368 104
:geoo/abstract/cvblocks/005: 384 104
:geoo/abstract/cvblocks/005: 368 104
:geoo/abstract/cvblocks/005: 384 104
:geoo/abstract/cvblocks/005: 400 104
:geoo/abstract/cvblocks/005: 416 104
:geoo/abstract/cvblocks/005: 432 104
:geoo/abstract/cvblocks/020: 576 96
:geoo/abstract/cvblocks/020: 608 96
