$BUILT 2016-01-06 21:38:40
$AUTHOR Nepster
$ENGLISH Lots of Small Tasks

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 2592
#SIZE_Y 400
#START_X 0
#START_Y 0

#SECONDS 0
#INITIAL 100
#REQUIRED 80
#SPAWN_INTERVAL 30

#WALKER 5
#RUNNER 5
#CLIMBER 5
#FLOATER 5
#EXPLODER 5
#BLOCKER 5
#BUILDER 5
#PLATFORMER 5
#BASHER 5
#MINER 5
#DIGGER 5
#JUMPER 5
#BATTER 5
#CUBER 5

:geoo/construction/Hatch.H: 48 56
:geoo/construction/Hatch.H: 48 216
:geoo/construction/Hatch.H: 304 56
:geoo/construction/Hatch.H: 320 216
:geoo/construction/Hatch.H: 560 40
:geoo/construction/Hatch.H: 544 216
:geoo/construction/Hatch.H: 816 40
:geoo/construction/Hatch.H: 816 232
:geoo/construction/Hatch.H: 1072 56
:geoo/construction/Hatch.H: 1072 240
:geoo/construction/Hatch.H: 1408 24
:geoo/construction/Hatch.H: 1344 216
:geoo/construction/Hatch.H: 1568 152
:geoo/construction/Hatch.H: 1584 232
:geoo/construction/Hatch.H: 1824 24
:geoo/construction/Hatch.H: 1840 232
:geoo/construction/Hatch.H: 2096 56
:geoo/construction/Hatch.H: 2080 216
:geoo/construction/Hatch.H: 2352 40
:geoo/construction/Hatch.H: 2344 280

:geoo/abstract/goal.G: 208 136
:geoo/abstract/goal.G: 48 328
:geoo/abstract/goal.G: 464 136
:geoo/abstract/goal.G: 448 248
:geoo/abstract/goal.G: 720 136
:geoo/abstract/goal.G: 592 200
:geoo/abstract/goal.G: 976 136
:geoo/abstract/goal.G: 816 328
:geoo/abstract/goal.G: 1168 112
:geoo/abstract/goal.G: 1232 328
:geoo/abstract/goal.G: 1408 136
:geoo/abstract/goal.G: 1496 264
:geoo/abstract/goal.G: 1752 40
:geoo/abstract/goal.G: 1744 232
:geoo/abstract/goal.G: 1840 136
:geoo/abstract/goal.G: 2016 264
:geoo/abstract/goal.G: 2016 248
:geoo/abstract/goal.G: 2264 96
:geoo/abstract/goal.G: 2256 328
:geoo/abstract/goal.G: 2520 40
:geoo/abstract/goal.G: 2520 232

:geoo/construction/factory.T: 976 32
