$BUILT 2016-07-18 22:24:04
$AUTHOR Nepster
$ENGLISH A Heart for Lix

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#SECONDS 0
#INITIAL 40
#REQUIRED 38
#SPAWN_INTERVAL 30

#CLIMBER 1
#FLOATER 5
#EXPLODER 2
#BLOCKER 2
#BUILDER 3
#MINER 1
#DIGGER 1

:matt/marble/Hatch.H: 214 18

:matt/marble/Goal.G: 572 288
:matt/marble/Goal.G: 4 288

:matt/marble/01: 232 128
:matt/steel/32x32.S: 0 336
:matt/steel/32x32.S: 32 336
:matt/steel/32x32.S: 224 336
:matt/steel/32x32.S: 256 336
:matt/steel/32x32.S: 288 336
:matt/steel/32x32.S: 320 336
:matt/steel/32x32.S: 352 336
:matt/steel/32x32.S: 384 336
:matt/steel/32x32.S: 576 336
:matt/steel/32x32.S: 608 336
:matt/marble/01: 248 128
:matt/marble/01: 264 128
:matt/marble/01: 280 128
:matt/marble/01: 296 144
:matt/marble/01: 344 128
:matt/marble/01: 360 128
:matt/marble/01: 376 128
:matt/marble/01: 392 128
:matt/marble/01: 344 144
:matt/marble/01: 360 144
:matt/marble/01: 376 144
:matt/marble/01: 392 144
:matt/marble/01: 232 144
:matt/marble/01: 248 144
:matt/marble/01: 264 144
:matt/marble/01: 280 144
:matt/marble/01: 232 160
:matt/marble/01: 248 160
:matt/marble/01: 264 160
:matt/marble/01: 280 160
:matt/marble/01: 296 160
:matt/marble/01: 312 160
:matt/marble/01: 328 160
:matt/marble/01: 344 160
:matt/marble/01: 360 160
:matt/marble/01: 376 160
:matt/marble/01: 392 160
:matt/marble/01: 248 176
:matt/marble/01: 264 176
:matt/marble/01: 280 176
:matt/marble/01: 296 176
:matt/marble/01: 312 176
:matt/marble/01: 328 176
:matt/marble/01: 344 176
:matt/marble/01: 360 176
:matt/marble/01: 376 176
:matt/marble/01: 264 192
:matt/marble/01: 280 192
:matt/marble/01: 296 192
:matt/marble/01: 312 192
:matt/marble/01: 328 192
:matt/marble/01: 344 192
:matt/marble/01: 360 192
:matt/marble/01: 280 208
:matt/marble/01: 296 208
:matt/marble/01: 312 208
:matt/marble/01: 328 208
:matt/marble/01: 344 208
:matt/marble/01: 296 224
:matt/marble/01: 312 224
:matt/marble/01: 328 224
:matt/marble/01: 312 240
:matt/marble/01: 304 232
:matt/marble/01: 320 232
:matt/marble/01: 288 216
:matt/marble/01: 304 216
:matt/marble/01: 320 216
:matt/marble/01: 336 216
:matt/marble/01: 256 184
:matt/marble/01: 272 184
:matt/marble/01: 288 184
:matt/marble/01: 304 184
:matt/marble/01: 320 184
:matt/marble/01: 336 184
:matt/marble/01: 352 184
:matt/marble/01: 368 184
:matt/marble/01: 272 200
:matt/marble/01: 288 200
:matt/marble/01: 304 200
:matt/marble/01: 320 200
:matt/marble/01: 336 200
:matt/marble/01: 352 200
:matt/marble/01: 240 168
:matt/marble/01: 256 168
:matt/marble/01: 272 168
:matt/marble/01: 288 168
:matt/marble/01: 304 168
:matt/marble/01: 320 168
:matt/marble/01: 336 168
:matt/marble/01: 352 168
:matt/marble/01: 368 168
:matt/marble/01: 384 168
:matt/marble/01: 224 152
:matt/marble/01: 240 152
:matt/marble/01: 256 152
:matt/marble/01: 272 152
:matt/marble/01: 288 152
:matt/marble/01: 304 152
:matt/marble/01: 320 152
:matt/marble/01: 336 152
:matt/marble/01: 352 152
:matt/marble/01: 368 152
:matt/marble/01: 384 152
:matt/marble/01: 400 152
:matt/marble/01: 336 136
:matt/marble/01: 352 136
:matt/marble/01: 368 136
:matt/marble/01: 384 136
:matt/marble/01: 400 136
:matt/marble/01: 224 136
:matt/marble/01: 240 136
:matt/marble/01: 256 136
:matt/marble/01: 272 136
:matt/marble/01: 288 136
:matt/marble/00: 224 144
:matt/marble/00: 408 144
:matt/marble/001a: 456 128
:matt/marble/001a: 456 144
:matt/marble/001a: 456 160
:matt/marble/001a: 456 176
:matt/marble/001a: 456 192
:matt/marble/001a: 456 208
:matt/marble/001a: 456 224
:matt/marble/001a: 456 240
:matt/marble/001a: 456 256
:matt/marble/001a: 456 272
:matt/marble/001a: 456 288
:matt/marble/001a: 456 304
:matt/marble/001a: 456 320
:matt/marble/001a: 480 320
:matt/marble/001a: 480 304
:matt/marble/001a: 480 288
:matt/marble/001a: 480 272
:matt/marble/001a: 480 256
:matt/marble/001a: 480 240
:matt/marble/001a: 480 224
:matt/marble/001a: 504 320
:matt/marble/001a: 504 304
:matt/marble/001a: 504 288
:matt/marble/001a: 504 272
:matt/marble/001a: 504 256
:matt/marble/001a: 528 320
:matt/marble/001a: 528 304
:matt/marble/001a: 552 320
:matt/steel/32x32.S: 456 96
:matt/steel/32x32.S: 488 96
:matt/steel/32x32.S: 552 96
:matt/steel/32x32.S: 584 96
:matt/marble/15: 456 96 d
:matt/marble/17c: 584 96 d
:matt/marble/16a: 552 64
:matt/marble/14a: 488 64
:matt/marble/001a: 632 128
:matt/marble/001a: 632 144
:matt/marble/001a: 632 160
:matt/marble/001a: 632 176
:matt/marble/001a: 632 192
:matt/marble/001a: 632 208
:matt/marble/001a: 632 224
:matt/marble/001a: 632 240
:matt/marble/001a: 632 256
:matt/marble/001a: 632 272
:matt/marble/001a: 632 288
:matt/marble/001a: 632 304
:matt/marble/001a: 632 320
:matt/marble/001a: 632 48
:matt/marble/001a: 632 64
:matt/marble/001a: 632 80
:matt/marble/001a: 632 96
:matt/marble/001a: 632 112
:matt/marble/001a: 632 16
:matt/marble/001a: 632 32
:matt/marble/001a: 632 0
:matt/marble/17a: 600 96
:matt/marble/17a: 568 64
:matt/marble/17a: 536 32
:matt/marble/17a: 504 0
:matt/marble/05a: 536 0
:matt/marble/05a: 600 64
:matt/marble/05a: 568 0
:matt/marble/05a: 600 0
:matt/marble/05a: 568 32
:matt/marble/05a: 600 32
:matt/marble/12a: 464 330
:matt/marble/12a: 488 330
:matt/marble/12a: 512 330
:matt/marble/12a: 536 330
:matt/marble/12a: 560 330
:matt/marble/10a: 440 330
:matt/marble/10a: 464 330
:matt/marble/10a: 488 330
:matt/marble/10a: 512 330
:matt/marble/10a: 536 330
:matt/steel/32x32.S: 416 336
:matt/steel/32x32.S: 448 336
:matt/steel/32x32.S: 480 336
:matt/steel/32x32.S: 512 336
:matt/steel/32x32.S: 544 336
:matt/marble/001a: 176 128
:matt/marble/001a: 176 144
:matt/marble/001a: 176 160
:matt/marble/001a: 176 176
:matt/marble/001a: 176 192
:matt/marble/001a: 176 208
:matt/marble/001a: 176 224
:matt/marble/001a: 176 240
:matt/marble/001a: 176 256
:matt/marble/001a: 176 272
:matt/marble/001a: 176 288
:matt/marble/001a: 176 304
:matt/marble/001a: 176 320
:matt/marble/001a: 152 320
:matt/marble/001a: 152 304
:matt/marble/001a: 152 288
:matt/marble/001a: 152 272
:matt/marble/001a: 152 256
:matt/marble/001a: 152 240
:matt/marble/001a: 152 224
:matt/marble/001a: 128 320
:matt/marble/001a: 128 304
:matt/marble/001a: 128 288
:matt/marble/001a: 128 272
:matt/marble/001a: 128 256
:matt/marble/001a: 104 320
:matt/marble/001a: 104 304
:matt/marble/001a: 80 320
:matt/steel/32x32.S: 24 96
:matt/steel/32x32.S: 56 96
:matt/steel/32x32.S: 120 96
:matt/steel/32x32.S: 152 96
:matt/marble/15: 24 96 d
:matt/marble/17c: 152 96 d
:matt/marble/16a: 120 64
:matt/marble/14a: 56 64
:matt/marble/001a: 0 128
:matt/marble/001a: 0 144
:matt/marble/001a: 0 160
:matt/marble/001a: 0 176
:matt/marble/001a: 0 192
:matt/marble/001a: 0 208
:matt/marble/001a: 0 224
:matt/marble/001a: 0 240
:matt/marble/001a: 0 256
:matt/marble/001a: 0 272
:matt/marble/001a: 0 288
:matt/marble/001a: 0 304
:matt/marble/001a: 0 320
:matt/marble/001a: 0 48
:matt/marble/001a: 0 64
:matt/marble/001a: 0 80
:matt/marble/001a: 0 96
:matt/marble/001a: 0 112
:matt/marble/001a: 0 16
:matt/marble/001a: 0 32
:matt/marble/001a: 0 0
:matt/marble/05a: 72 0
:matt/marble/05a: 8 64
:matt/marble/05a: 8 0
:matt/marble/05a: 40 0
:matt/marble/05a: 8 32
:matt/marble/05a: 40 32
:matt/marble/12a: 136 330
:matt/marble/12a: 160 330
:matt/marble/12a: 88 330
:matt/marble/12a: 112 330
:matt/marble/10a: 136 330
:matt/marble/10a: 160 330
:matt/marble/10a: 88 330
:matt/marble/10a: 112 330
:matt/marble/10a: 64 330
:matt/marble/12a: 184 330
:matt/steel/32x32.S: 160 336
:matt/steel/32x32.S: 128 336
:matt/steel/32x32.S: 64 336
:matt/steel/32x32.S: 96 336
:matt/steel/32x32.S: 192 336
:matt/marble/15a: 104 0
:matt/marble/15a: 72 32
:matt/marble/15a: 40 64
:matt/marble/15a: 8 96
:matt/steel/32x32.S: 0 368
:matt/steel/32x32.S: 32 368
:matt/steel/32x32.S: 224 368
:matt/steel/32x32.S: 256 368
:matt/steel/32x32.S: 288 368
:matt/steel/32x32.S: 320 368
:matt/steel/32x32.S: 352 368
:matt/steel/32x32.S: 384 368
:matt/steel/32x32.S: 576 368
:matt/steel/32x32.S: 608 368
:matt/steel/32x32.S: 416 368
:matt/steel/32x32.S: 448 368
:matt/steel/32x32.S: 480 368
:matt/steel/32x32.S: 512 368
:matt/steel/32x32.S: 544 368
:matt/steel/32x32.S: 160 368
:matt/steel/32x32.S: 128 368
:matt/steel/32x32.S: 64 368
:matt/steel/32x32.S: 96 368
:matt/steel/32x32.S: 192 368
:matt/marble/01: 256 328
:matt/marble/01: 272 328
:matt/marble/01: 264 320
:matt/marble/01: 288 328
:matt/marble/01: 280 320
:matt/marble/01: 272 312
:matt/marble/01: 336 328
:matt/marble/01: 352 328
:matt/marble/01: 368 328
:matt/marble/01: 344 320
:matt/marble/01: 360 320
:matt/marble/01: 352 312
:matt/marble/00: 280 304
:matt/marble/00: 352 304
:matt/marble/01: 328 144
:matt/steel/32x32.S: 88 96
:matt/steel/32x32.S: 520 96
