$BUILT 2016-01-13 21:48:36
$AUTHOR Nepster
$ENGLISH HangLix

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1056
#SIZE_Y 400

#SECONDS 0
#INITIAL 18
#REQUIRED 1
#SPAWN_INTERVAL 35

#RUNNER 2
#CLIMBER 10
#EXPLODER 10
#BASHER 2
#DIGGER 2

:geoo/sandstone/Hatch.H: 760 192
:geoo/sandstone/Hatch.H: 832 192
:geoo/sandstone/Hatch.H: 552 192
:geoo/sandstone/Hatch.H: 760 272
:geoo/sandstone/Hatch.H: 832 272
:geoo/sandstone/Hatch.H: 408 192

:geoo/sandstone/Goal.G: 0 304

:geoo/sandstone/chopper.T: 952 332
:geoo/construction/factory.T: 368 300
:geoo/construction/factory.T: 320 300
:geoo/construction/factory.T: 272 300
:geoo/construction/factory.T: 224 300
:geoo/construction/factory.T: 176 300
:geoo/construction/factory.T: 128 300
:geoo/construction/factory.T: 80 300

:geoo/sandstone/brazier.F: 656 40
:geoo/sandstone/brazier.F: 512 40
:geoo/sandstone/brazier.F: 528 272
:geoo/sandstone/brazier.F: 496 272
:geoo/sandstone/brazier.F: 640 272
:geoo/sandstone/brazier.F: 672 272
:geoo/sandstone/brazier.F: 368 40
:geoo/sandstone/brazier.F: 224 40
:geoo/sandstone/brazier.F: 80 40
:geoo/sandstone/brazier.F: 16 40

:geoo/sandstone/pillar_top_shaded: 168 188
:geoo/sandstone/pillar_top_shaded: 136 188
:geoo/sandstone/pillar_top_shaded: 312 188
:geoo/sandstone/pillar_top_shaded: 280 188
:geoo/sandstone/pillar_bottom_ext: 960 352
$BEGIN_TILE_GROUP 0
:geoo/sandstone/pillar_bottom_ext: 0 4
:geoo/sandstone/16x16: 0 0 d
$END_TILE_GROUP
:Group-0: 992 352
:geoo/sandstone/pillar_bottom_ext: 480 352
:Group-0: 512 352
:geoo/sandstone/pillar_bottom_ext: 624 352
:Group-0: 656 352
:geoo/construction/platform.S: 352 366
:geoo/construction/fence_32x32.S: 352 368
:geoo/construction/fence_32x32.S: 384 368
:geoo/construction/fence_32x32.S: 416 368
:geoo/construction/fence_32x32.S: 448 368
:geoo/construction/fence_32x32.S: 480 368
:geoo/construction/fence_32x32.S: 512 368
:geoo/construction/fence_32x32.S: 544 368
:geoo/construction/fence_32x32.S: 576 368
:geoo/construction/fence_32x32.S: 608 368
:geoo/construction/fence_32x32.S: 640 368
:geoo/construction/fence_32x32.S: 672 368
:geoo/construction/fence_32x32.S: 704 368
:geoo/construction/fence_32x32.S: 736 368
:geoo/construction/fence_32x32.S: 768 368
:geoo/construction/fence_32x32.S: 800 368
:geoo/construction/fence_32x32.S: 832 368
:geoo/construction/fence_32x32.S: 864 368
:geoo/construction/fence_32x32.S: 896 368
:geoo/construction/fence_32x32.S: 928 368
:geoo/construction/fence_32x32.S: 960 368
:geoo/construction/platform.S: 384 366
:geoo/construction/platform.S: 416 366
:geoo/construction/platform.S: 448 366
:geoo/construction/platform.S: 480 366
:geoo/construction/platform.S: 512 366
:geoo/construction/platform.S: 544 366
:geoo/construction/platform.S: 576 366
:geoo/construction/platform.S: 608 366
:geoo/construction/platform.S: 640 366
:geoo/construction/platform.S: 672 366
:geoo/construction/platform.S: 704 366
:geoo/construction/platform.S: 736 366
:geoo/construction/platform.S: 768 366
:geoo/construction/platform.S: 800 366
:geoo/construction/platform.S: 832 366
:geoo/construction/platform.S: 864 366
:geoo/construction/platform.S: 896 366
:geoo/construction/platform.S: 928 366
:geoo/construction/platform.S: 960 366
:geoo/construction/platform.S: 348 364
:geoo/construction/platform.S: 380 364
:geoo/construction/platform.S: 412 364
:geoo/construction/platform.S: 444 364
:geoo/construction/platform.S: 476 364
:geoo/construction/platform.S: 508 364
:geoo/construction/platform.S: 540 364
:geoo/construction/platform.S: 572 364
:geoo/construction/platform.S: 604 364
:geoo/construction/platform.S: 636 364
:geoo/construction/platform.S: 668 364
:geoo/construction/platform.S: 700 364
:geoo/construction/platform.S: 732 364
:geoo/construction/platform.S: 764 364
:geoo/construction/platform.S: 796 364
:geoo/construction/platform.S: 828 364
:geoo/construction/platform.S: 860 364
:geoo/construction/platform.S: 892 364
:geoo/construction/platform.S: 924 364
:geoo/construction/platform.S: 956 364
:geoo/construction/platform.S: 1052 364
:geoo/sandstone/pillar_bottom: 1008 320
:geoo/sandstone/pillar_top_shaded: 1008 268
:geoo/sandstone/pillar_top_shaded: 976 268
:geoo/sandstone/pillar_bottom_ext: 976 256
:geoo/sandstone/pillar_bottom: 672 320
:geoo/sandstone/pillar_top_shaded: 672 268
:geoo/sandstone/pillar_top_shaded: 640 268
:geoo/sandstone/pillar_bottom_ext: 640 256
:geoo/sandstone/pillar_bottom: 528 320
:geoo/sandstone/pillar_top_shaded: 528 268
:geoo/sandstone/pillar_top_shaded: 496 268
:geoo/sandstone/pillar_bottom_ext: 496 256
:geoo/sandstone/pillar_32: 656 96
:geoo/sandstone/pillar_32: 656 64
:geoo/sandstone/pillar_top_jaggedr: 656 32
:geoo/sandstone/pillar_bottom: 992 224
:geoo/sandstone/pillar_32: 992 192
:geoo/sandstone/pillar_32: 992 160
:geoo/sandstone/pillar_32: 992 128
:geoo/sandstone/pillar_32: 992 96
:geoo/sandstone/pillar_32: 992 64
:geoo/sandstone/pillar_32: 496 300
:geoo/sandstone/pillar_32: 512 96
:geoo/sandstone/pillar_32: 512 64
:geoo/sandstone/pillar_top_jaggedl: 992 32
:geoo/sandstone/pillar_top_jaggedl: 512 32
:geoo/sandstone/pillar_bottom_ext: 424 176
:geoo/sandstone/pillar_bottom_ext: 568 176
:geoo/sandstone/pillar_bottom_ext: 776 176
:geoo/sandstone/pillar_bottom_ext: 848 176
:geoo/sandstone/pillar_bottom_ext: 848 256
:geoo/sandstone/pillar_bottom_ext: 776 256
:geoo/sandstone/pillar_top_ext: 568 240
:geoo/sandstone/pillar_top_ext: 424 240
:geoo/sandstone/pillar_top_ext: 776 240
:geoo/sandstone/pillar_top_ext: 848 240
:geoo/construction/platform.S: 320 366
:geoo/construction/fence_32x32.S: 320 368
:geoo/construction/platform.S: 316 364
:geoo/construction/platform.S: 288 366
:geoo/construction/fence_32x32.S: 288 368
:geoo/construction/platform.S: 284 364
:geoo/construction/platform.S: 256 366
:geoo/construction/fence_32x32.S: 256 368
:geoo/construction/platform.S: 252 364
:geoo/construction/platform.S: 224 366
:geoo/construction/fence_32x32.S: 224 368
:geoo/construction/platform.S: 220 364
:geoo/construction/platform.S: 192 366
:geoo/construction/fence_32x32.S: 192 368
:geoo/construction/platform.S: 188 364
:geoo/construction/platform.S: 160 366
:geoo/construction/fence_32x32.S: 160 368
:geoo/construction/platform.S: 156 364
:geoo/sandstone/pillar_32: 584 256
:geoo/sandstone/pillar_32: 440 256
:geoo/sandstone/pillar_top_jaggedr: 440 312 f
:geoo/sandstone/pillar_top_jaggedl: 584 312 f
:geoo/sandstone/pillar_32: 440 16
:geoo/sandstone/pillar_32: 440 144
:geoo/sandstone/pillar_32: 440 112
:geoo/sandstone/pillar_32: 440 80
:geoo/sandstone/pillar_32: 440 48
:geoo/sandstone/pillar_32: 440 -16
:geoo/sandstone/pillar_32: 584 144
:geoo/sandstone/pillar_32: 584 112
:geoo/sandstone/pillar_32: 584 80
:geoo/sandstone/pillar_32: 584 48
:geoo/sandstone/pillar_32: 584 16
:geoo/sandstone/pillar_32: 584 -16
:geoo/sandstone/pillar_32: 792 144
:geoo/sandstone/pillar_32: 792 112
:geoo/sandstone/pillar_32: 792 80
:geoo/sandstone/pillar_32: 792 48
:geoo/sandstone/pillar_32: 792 16
:geoo/sandstone/pillar_32: 792 -16
:geoo/sandstone/pillar_32: 864 144
:geoo/sandstone/pillar_32: 864 112
:geoo/sandstone/pillar_32: 864 80
:geoo/sandstone/pillar_32: 864 48
:geoo/sandstone/pillar_32: 864 16
:geoo/sandstone/pillar_32: 864 -16
:geoo/construction/platform.S: 128 366
:geoo/construction/fence_32x32.S: 128 368
:geoo/construction/platform.S: 124 364
:geoo/construction/platform.S: 96 366
:geoo/construction/fence_32x32.S: 96 368
:geoo/construction/platform.S: 92 364
:geoo/construction/platform.S: 64 366
:geoo/construction/fence_32x32.S: 64 368
:geoo/construction/platform.S: 60 364
:geoo/construction/platform.S: 32 366
:geoo/construction/fence_32x32.S: 32 368
:geoo/construction/platform.S: 28 364
:geoo/construction/platform.S: 0 366
:geoo/construction/fence_32x32.S: 0 368
:geoo/construction/platform.S: -4 364
:geoo/sandstone/pillar_bottom_ext: 0 288
:geoo/sandstone/pillar_32: 16 128
:geoo/sandstone/pillar_32: 16 256
:geoo/sandstone/pillar_32: 16 224
:geoo/sandstone/pillar_32: 16 192
:geoo/sandstone/pillar_32: 16 160
:geoo/sandstone/pillar_32: 16 96
:geoo/sandstone/pillar_32: 16 64
:geoo/sandstone/pillar_top_jaggedr: 16 32
