$BUILT 2017-03-07 21:34:53
$AUTHOR Nepster
$ENGLISH Three Little Lix

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#INITIAL 3
#REQUIRED 3
#SPAWN_INTERVAL 15

#WALKER 1
#CLIMBER 1
#FLOATER 1
#BUILDER 2
#BASHER 2
#MINER 3
#DIGGER 2
#EXPLODER 0

:geoo/construction/Hatch.H: 352 34

:geoo/abstract/goal.G: 576 320

:amanda/steel/steel32x32.S: 448 96
:amanda/steel/steel32x32.S: 480 96
:geoo/construction/platformbrick: 416 104
:geoo/construction/platformbrick: 416 118
:geoo/construction/platformbrick: 384 118
:geoo/construction/platformbrick: 352 118
:geoo/construction/platformbrick: 320 118
:geoo/construction/platformbrick: 288 118
:geoo/construction/platformbrick: 264 118
:geoo/construction/platformbrick: 384 104
:geoo/construction/platformbrick: 352 104
:geoo/construction/platformbrick: 320 104
:geoo/construction/platformbrick: 288 104
:geoo/abstract/cvblocks/030: 128 96
:geoo/abstract/cvblocks/030: 96 96
:geoo/abstract/cvblocks/013: 168 136
:geoo/abstract/cvblocks/003: 160 128
:geoo/abstract/cvblocks/004: 216 128
:geoo/abstract/cvblocks/014: 208 136
:geoo/abstract/cvblocks/005: 168 128
:geoo/abstract/cvblocks/005: 184 128
:geoo/abstract/cvblocks/005: 200 128
:geoo/abstract/cvblocks/015: 176 168
:geoo/abstract/cvblocks/015: 192 168
:geoo/abstract/cvblocks/030: 176 136
:geoo/abstract/cvblocks/015: 176 216
:geoo/abstract/cvblocks/015: 192 216
:geoo/abstract/cvblocks/030: 176 184
:geoo/abstract/cvblocks/015: 176 264
:geoo/abstract/cvblocks/015: 192 264
:geoo/abstract/cvblocks/030: 176 232
:geoo/abstract/cvblocks/015: 176 312
:geoo/abstract/cvblocks/015: 192 312
:geoo/abstract/cvblocks/030: 176 280
:geoo/abstract/cvblocks/030: 176 328
:geoo/abstract/cvblocks/005: 168 360
:geoo/abstract/cvblocks/005: 184 360
:geoo/abstract/cvblocks/005: 200 360
:geoo/abstract/cvblocks/002: 216 360
:geoo/abstract/cvblocks/012: 208 344
:geoo/abstract/cvblocks/011: 168 344
:geoo/abstract/cvblocks/001: 160 360
:geoo/abstract/cvblocks/030: 64 368
:geoo/abstract/cvblocks/030: 96 368
:geoo/abstract/cvblocks/030: 32 368
:geoo/abstract/cvblocks/030: 192 368
:geoo/abstract/cvblocks/030: 224 368
:geoo/abstract/cvblocks/030: 160 368
:geoo/abstract/cvblocks/030: 128 368
:geoo/abstract/cvblocks/030: 320 368
:geoo/abstract/cvblocks/030: 352 368
:geoo/abstract/cvblocks/030: 256 368
:geoo/abstract/cvblocks/030: 0 368
:geoo/abstract/cvblocks/030: 0 264
:geoo/abstract/cvblocks/030: 0 296
:geoo/abstract/cvblocks/030: 0 328
:geoo/abstract/cvblocks/030: 0 72
:geoo/abstract/cvblocks/030: 0 104
:geoo/abstract/cvblocks/030: 0 232
:geoo/abstract/cvblocks/030: 0 40
:geoo/abstract/cvblocks/005: 0 360
:geoo/abstract/cvblocks/005: 16 360
:geoo/abstract/cvblocks/005: 0 32
:geoo/abstract/cvblocks/005: 16 32
:geoo/abstract/cvblocks/030: 0 0
:geoo/abstract/cvblocks/030: 64 0
:geoo/abstract/cvblocks/030: 96 0
:geoo/abstract/cvblocks/030: 32 0
:geoo/abstract/cvblocks/030: 192 0
:geoo/abstract/cvblocks/030: 224 0
:geoo/abstract/cvblocks/030: 160 0
:geoo/abstract/cvblocks/030: 128 0
:geoo/abstract/cvblocks/030: 320 0
:geoo/abstract/cvblocks/030: 352 0
:geoo/abstract/cvblocks/030: 288 0
