$BUILT 2014-02-28 11:33:46
$AUTHOR Rubix
$GERMAN 
$ENGLISH The water tank

#SIZE_X 1280
#SIZE_Y 672
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 180
#BACKGROUND_RED 64
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 32

#SECONDS 0
#INITIAL 60
#REQUIRED 58
#SPAWN_INTERVAL 53
#SPAWN_INTERVAL_FAST 4

#CLIMBER 1
#JUMPER 1
#RUNNER 2
#EXPLODER2 1
#BUILDER 2
#PLATFORMER 1
#BASHER 1
#MINER 4
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/marble/Hatch.H: 48 -16
:matt/marble/Hatch.H: 1136 496 r
:matt/marble/Hatch.H: 816 0
:matt/marble/Hatch.H: 816 0 r

:matt/marble/Goal.G: 80 560

:matt/10tons.T: 422 280
:matt/10tons.T: 456 280
:matt/10tons.T: 422 344
:matt/10tons.T: 456 344
:matt/10tons.T: 406 408
:matt/10tons.T: 438 408
:matt/10tons.T: 504 408
:matt/10tons.T: 472 410

:matt/water.W: 432 624
:matt/water.W: 464 624
:matt/water.W: 496 624
:matt/water.W: 528 624
:matt/water.W: 560 624
:matt/water.W: 592 624
:matt/water.W: 624 624
:matt/water.W: 656 624
:matt/water.W: 688 624
:matt/water.W: 720 624
:matt/water.W: 752 624
:matt/water.W: 784 624
:matt/water.W: 368 624
:matt/water.W: 400 624
:matt/water.W: 304 624
:matt/water.W: 336 624
:matt/water.W: 432 640
:matt/water.W: 464 640
:matt/water.W: 496 640
:matt/water.W: 528 640
:matt/water.W: 560 640
:matt/water.W: 592 640
:matt/water.W: 624 640
:matt/water.W: 656 640
:matt/water.W: 688 640
:matt/water.W: 720 640
:matt/water.W: 752 640
:matt/water.W: 784 640
:matt/water.W: 368 640
:matt/water.W: 400 640
:matt/water.W: 304 640
:matt/water.W: 336 640
:matt/water.W: 848 624
:matt/water.W: 880 624
:matt/water.W: 912 624
:matt/water.W: 944 624
:matt/water.W: 976 624
:matt/water.W: 848 640
:matt/water.W: 880 640
:matt/water.W: 912 640
:matt/water.W: 944 640
:matt/water.W: 976 640
:matt/water.W: 224 624
:matt/water.W: 160 624
:matt/water.W: 192 624
:matt/water.W: 128 624
:matt/water.W: 224 640
:matt/water.W: 160 640
:matt/water.W: 192 640
:matt/water.W: 128 640
:matt/water.W: 80 624
:matt/water.W: 16 624
:matt/water.W: 48 624
:matt/water.W: 80 640
:matt/water.W: 16 640
:matt/water.W: 48 640

:matt/marble/08c: 560 496 r
:matt/marble/05: 0 288
:matt/marble/05: 32 320
:matt/marble/05: 64 320
:matt/marble/05: 96 320
:matt/marble/05: 128 320
:matt/marble/05: 160 320
:matt/marble/05: 192 320
:matt/marble/05: 224 320
:matt/marble/05: 256 320
:matt/marble/05: 288 320
:matt/marble/08a: 352 448
:matt/marble/08a: 416 448
:matt/marble/08a: 480 448
:matt/marble/08a: 496 480
:matt/marble/08a: 560 480
:matt/marble/08a: 624 480
:matt/marble/08a: 688 480
:matt/marble/08a: 752 480
:matt/marble/08a: 816 448
:matt/marble/08a: 944 640 rr
:matt/marble/09b: 240 544
:matt/marble/09b: 240 480
:matt/marble/09b: 240 608
:matt/marble/09c: 544 352
:matt/marble/09c: 544 288
:matt/marble/09c: 544 224
:matt/marble/09c: 544 160
:matt/marble/09c: 544 96
:matt/marble/22b: 592 48 f
:matt/marble/09c: 544 32
:matt/marble/08: 80 608 frr
:matt/marble/08: 16 544 f
:matt/marble/08: 16 576
:matt/marble/05a: 480 160
:matt/marble/05a: 448 160
:matt/marble/05a: 416 160
:matt/marble/05a: 384 160
:matt/marble/05a: 352 160
:matt/marble/05a: 320 160
:matt/marble/05a: 288 160
:matt/marble/05a: 256 160
:matt/marble/05a: 224 160
:matt/marble/05a: 192 160
:matt/marble/05a: 160 160
:matt/marble/09c: 1072 448
:matt/marble/09c: 1136 416
:matt/marble/09c: 1200 352
:matt/marble/09c: 1200 288
:matt/marble/09c: 1200 224
:matt/marble/09c: 1200 160
:matt/marble/09c: 1200 96
:matt/marble/09c: 1200 32
:matt/marble/09c: 1136 32
:matt/marble/08a: 288 448
:matt/marble/08a: 224 448
:matt/marble/09c: 1072 608
:matt/marble/09c: 1136 608
:matt/marble/09c: 1200 608
:matt/marble/09c: 1200 544
:matt/marble/09c: 1200 480
:matt/marble/09c: 1200 416
:matt/marble/09b: 816 544
:matt/marble/09b: 816 480
:matt/marble/09b: 816 608
:matt/marble/09c: 1008 480
:matt/marble/14c: 1104 416
:matt/marble/14c: 1040 448
:matt/marble/09c: 944 576
:matt/marble/14c: 976 480
:matt/marble/05a: 784 448
:matt/marble/09c: 1008 368
:matt/marble/09c: 944 336
:matt/marble/09c: 880 304
:matt/marble/14c: 1008 336 r
:matt/marble/14c: 944 304 r
:matt/marble/09c: 1072 224
:matt/marble/09c: 1136 192
:matt/marble/09c: 1008 256
:matt/marble/14c: 1104 192
:matt/marble/14c: 1040 224
:matt/marble/14c: 976 256
:matt/marble/14c: 1072 368 r
:matt/marble/09c: 1008 144
:matt/marble/09c: 944 112
:matt/marble/09c: 880 80
:matt/marble/14c: 1008 112 r
:matt/marble/14c: 944 80 r
:matt/marble/14c: 1072 144 r
:matt/marble/09c: 816 384
:matt/marble/09c: 816 256
:matt/marble/22b: 768 192
:matt/marble/09c: 816 192
:matt/marble/09c: 816 64
:matt/steel/64x64.S: 544 416
:matt/marble/22b: 640 96 f
:matt/marble/22b: 688 144 f
:matt/marble/22b: 720 240
:matt/marble/09c: 1008 608
:matt/marble/05: 0 320
:matt/marble/05: 32 352
:matt/marble/05: 64 352
:matt/marble/05: 96 352
:matt/marble/05: 128 352
:matt/marble/05: 160 352
:matt/marble/05: 192 352
:matt/marble/05: 224 352
:matt/marble/05: 256 352
:matt/marble/05: 288 352
:matt/marble/05: 0 224
:matt/marble/05: 32 256
:matt/marble/05: 0 256
:matt/marble/05: 32 288
:matt/marble/05: 64 256
:matt/marble/05: 96 256
:matt/marble/05: 64 288
:matt/marble/05: 96 288
:matt/marble/05: 128 256
:matt/marble/05: 160 256
:matt/marble/05: 128 288
:matt/marble/05: 160 288
:matt/marble/05: 192 256
:matt/marble/05: 224 256
:matt/marble/05: 192 288
:matt/marble/05: 224 288
:matt/marble/05: 256 288
:matt/marble/05: 352 384
:matt/marble/05: 0 160
:matt/marble/05: 0 192
:matt/marble/05: 0 96
:matt/marble/05: 0 128
:matt/marble/05: 0 32
:matt/marble/05: 0 64
:matt/marble/05: 0 352
:matt/marble/05: 0 0
:matt/marble/05: 32 384
:matt/marble/05: 64 384
:matt/marble/05: 96 384
:matt/marble/05: 128 384
:matt/marble/05: 160 384
:matt/marble/05: 192 384
:matt/marble/05: 224 384
:matt/marble/05: 256 384
:matt/marble/05: 288 384
:matt/marble/05: 320 352
:matt/marble/05: 0 384
:matt/marble/05: 320 384
:matt/marble/14a: 464 480 f
:matt/marble/14a: 128 160 f
:matt/marble/14c: 608 352 rr
:matt/marble/06c: 608 288
:matt/marble/06c: 608 160
:matt/marble/06c: 608 96
:matt/marble/14c: 608 64 frr
:matt/marble/09c: 1072 16
:matt/marble/09c: 1008 -16
:matt/marble/09c: 944 -48
:matt/marble/06c: 608 224
:matt/marble/14c: 512 352 rrr
:matt/marble/06c: 512 288
:matt/marble/06c: 512 224
:matt/marble/06c: 512 160
:matt/marble/06c: 512 96
:matt/marble/14c: 512 64 fr
:matt/marble/14c: 880 384 r
:matt/marble/14c: 912 576
:matt/marble/14c: 784 384 fr
:matt/marble/08: 16 608
:matt/marble/08: 144 608
:matt/marble/08: 80 640
:matt/marble/08: 0 640
:matt/marble/08: 160 640
:matt/marble/14b: 304 480 frrr
:matt/marble/14a: 192 448 f
:matt/marble/14a: 784 512 f
:matt/marble/14a: 608 448 frr
:matt/marble/14c: 576 560 rr
:matt/marble/14c: 544 560 f
:matt/marble/05: 32 64
:matt/marble/05: 64 64
:matt/marble/05: 96 64
:matt/marble/05: 128 64
:matt/marble/05: 160 64
:matt/marble/05: 192 64
:matt/marble/05: 224 64
:matt/marble/05a: 480 320
:matt/marble/05a: 448 320
:matt/marble/05a: 416 320
:matt/marble/05a: 384 320
:matt/marble/05a: 512 384
:matt/marble/05a: 480 384
:matt/marble/05a: 448 384
:matt/marble/05a: 416 384
:matt/marble/05a: 480 256
:matt/marble/05a: 448 256
:matt/marble/05a: 416 256
:matt/marble/05a: 384 256
:matt/marble/05a: 352 256
:matt/marble/05a: 320 256
:matt/marble/22b: 704 256
:matt/marble/22b: 696 152 f
