$BUILT 2017-08-09 03:56:06
$AUTHOR Rubix
$ENGLISH Step to the beat

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 720
#START_X 0
#START_Y 0
#BACKGROUND_RED 127
#BACKGROUND_GREEN 63
#BACKGROUND_BLUE 255

#SECONDS 135
#INITIAL 30
#REQUIRED 29
#SPAWN_INTERVAL 28

#FLOATER 1
#EXPLODER2 1
#PLATFORMER 2
#BASHER 1
#JUMPER 5

:simon/oriental/hatch.H: -16 2

:simon/oriental/goal.G: 496 624
:geoo/abstract/goal.G: 288 64

:matt/water.W: 192 672
:matt/water.W: 224 672
:matt/water.W: 256 672
:matt/water.W: 288 672
:matt/water.W: 320 672
:matt/water.W: 352 672
:matt/water.W: 192 688
:matt/water.W: 224 688
:matt/water.W: 256 688
:matt/water.W: 288 688
:matt/water.W: 320 688
:matt/water.W: 352 688
:matt/water.W: 0 672
:matt/water.W: 32 672
:matt/water.W: 64 672
:matt/water.W: 96 672
:matt/water.W: 128 672
:matt/water.W: 160 672
:matt/water.W: 0 688
:matt/water.W: 32 688
:matt/water.W: 64 688
:matt/water.W: 96 688
:matt/water.W: 128 688
:matt/water.W: 160 688
:matt/water.W: 384 672
:matt/water.W: 384 688

:simon/oriental/branch5: -3 612 rr
:simon/oriental/bridge3: 288 624
:simon/oriental/bridge3: 352 656
:simon/oriental/branch5: -17 633
:simon/oriental/03: 544 704
:simon/oriental/03: 16 80
:simon/oriental/03: 32 96
:simon/oriental/03: 48 112
:simon/oriental/03: 64 128
:simon/oriental/03: 80 144
:simon/oriental/03: 96 160
:simon/oriental/03: 112 176
:simon/oriental/03: 128 192
:simon/oriental/03: 144 208
:simon/oriental/03: 160 224
:simon/oriental/03: 176 240
:simon/oriental/03: 192 256
:simon/oriental/03: 208 272
:simon/oriental/03: 224 288
:simon/oriental/03: 240 304
:simon/oriental/03: 256 320
:simon/oriental/03: 272 336
:simon/oriental/03: 288 352
:simon/oriental/03: 304 368
:simon/oriental/03: 320 384
:simon/oriental/03: 336 400
:simon/oriental/03: 352 416
:simon/oriental/03: 368 432
:simon/oriental/03: 384 448
:simon/oriental/03: 400 464
:simon/oriental/03: 416 480
:simon/oriental/03: 432 496
:simon/oriental/03: 368 640
:simon/oriental/03: 448 704
:simon/oriental/03: 16 192
:simon/oriental/03: 32 208
:simon/oriental/03: 48 224
:simon/oriental/03: 64 240
:simon/oriental/03: 80 256
:simon/oriental/03: 96 272
:simon/oriental/03: 112 288
:simon/oriental/03: 128 304
:simon/oriental/03: 144 320
:simon/oriental/03: 160 336
:simon/oriental/03: 176 352
:simon/oriental/03: 192 368
:simon/oriental/03: 208 384
:simon/oriental/03: 224 400
:simon/oriental/03: 240 416
:simon/oriental/03: 256 432
:simon/oriental/03: 272 448
:simon/oriental/03: 288 464
:simon/oriental/03: 304 480
:simon/oriental/03: 320 496
:simon/oriental/03: 336 512
:simon/oriental/03: 352 528
:simon/oriental/03: 368 544
:simon/oriental/03: 368 560
:simon/oriental/03: 368 624
:simon/oriental/03: 368 608
:simon/oriental/03: 0 288
:simon/oriental/03: 16 304
:simon/oriental/03: 32 320
:simon/oriental/03: 48 336
:simon/oriental/03: 64 352
:simon/oriental/03: 80 368
:simon/oriental/03: 96 384
:simon/oriental/03: 112 400
:simon/oriental/03: 128 416
:simon/oriental/03: 144 432
:simon/oriental/03: 160 448
:simon/oriental/03: 176 464
:simon/oriental/03: 192 480
:simon/oriental/03: 208 496
:simon/oriental/03: 224 512
:simon/oriental/03: 240 528
:simon/oriental/03: 256 544
:simon/oriental/03: 272 560
:simon/oriental/03: 288 576
:simon/oriental/03: 304 592
:simon/oriental/03: 320 608
:simon/oriental/03: 336 624
:simon/oriental/03: 352 640
:simon/oriental/03: 368 656
:simon/oriental/03: 384 672
:simon/oriental/03: 400 688
:simon/oriental/03: 416 704
:simon/oriental/03: 480 704
:simon/oriental/03: 512 704
:simon/oriental/08: 576 0
:simon/oriental/08: 576 64
:simon/oriental/08: 576 128
:simon/oriental/08: 576 192
:simon/oriental/08: 576 256
:simon/oriental/08: 576 320
:simon/oriental/08: 576 384
:simon/oriental/08: 576 448
:geoo/construction/rod_steel/straight32.S: 576 448 rrr
:simon/oriental/08: 576 512
:simon/oriental/08: 576 576
:simon/oriental/08: 576 640
:simon/oriental/08: 576 704
:simon/oriental/08: 528 0
:simon/oriental/08: 528 64
:simon/oriental/08: 528 128
:simon/oriental/08: 528 192
:simon/oriental/08: 528 256
:simon/oriental/08: 528 320
:simon/oriental/03: 368 592
:simon/oriental/03: 0 272
:simon/oriental/03: 0 256
:simon/oriental/03: 0 240
:simon/oriental/03: 0 224
:simon/oriental/03: 0 208
:simon/oriental/03: 0 192
:simon/oriental/03: 0 176
:simon/oriental/03: 0 160
:simon/oriental/03: 0 144
:simon/oriental/03: 0 128
:simon/oriental/03: 0 112
:simon/oriental/03: 0 96
:simon/oriental/03: 0 80
:simon/oriental/03: 0 64
:simon/oriental/08: 528 384
:simon/oriental/08: 480 320
:simon/oriental/03: 368 576
:simon/oriental/08: 480 0
:simon/oriental/08: 480 64
:simon/oriental/08: 480 128
:simon/oriental/08: 480 192
:simon/oriental/08: 480 256
:simon/oriental/08: 432 0
:simon/oriental/08: 432 64
:simon/oriental/08: 432 128
:simon/oriental/08: 384 0
:simon/oriental/bridge1: 32 624
:simon/oriental/07: 74 542 d
:simon/oriental/bush4: -16 561
:simon/oriental/bonsai: -61 426
:simon/oriental/bush1: -10 605
:simon/oriental/bush4: -31 617
:simon/oriental/08: 432 192
:simon/oriental/08: 384 64
:simon/oriental/08: 320 -64
:simon/oriental/gate: 112 560
:geoo/construction/rod_steel/straight32.S: 576 480 rrr
:geoo/construction/rod_steel/straight32.S: 576 512 rrr
:geoo/construction/rod_steel/straight32.S: 576 544 rrr
:geoo/construction/rod_steel/straight32.S: 576 528 rrr
:geoo/construction/rod_steel/straight32.S: 576 560 rrr
:geoo/construction/rod_steel/straight32.S: 576 592 rrr
:geoo/construction/rod_steel/straight32.S: 576 624 rrr
:geoo/construction/rod_steel/straight32.S: 576 656 rrr
:geoo/construction/rod_steel/straight32.S: 576 672 rrr
:geoo/steel/dark_32x16o.S: 288 64
:geoo/steel/dark_32x16o.S: 288 112
:geoo/steel/dark_32x16o.S: 272 80 rrr
:geoo/steel/dark_32x16o.S: 320 80 rrr
:geoo/steel/dark_16x16o.S: 272 64
