$BUILT 2018-02-15 23:51:27
$AUTHOR Rubix
$ENGLISH Postcards arrived, colorized.

$HINT_ENGLISH Sorry, but no hints from here ;)  Beating harder maps without tips is highly rewarding.  Well I have always felt so..
$HINT_ENGLISH Take a break, clear your head and try again later.   This for some reason really does work, and many people have said the same thing.

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1982
#SIZE_Y 336
#BACKGROUND_RED 16
#BACKGROUND_GREEN 95
#BACKGROUND_BLUE 112

#INITIAL 75
#REQUIRED 74
#SPAWN_INTERVAL 4

#WALKER 5
#CLIMBER 1
#EXPLODER 1
#BLOCKER 6
#DIGGER 5

:matt/carnival/Hatch.H: 368 186

:matt/carnival/Goal.G: 1488 144

:matt/water.W: 1680 288
:matt/water.W: 1712 288
:matt/water.W: 256 288
:matt/water.W: 288 288
:matt/water.W: 1680 304
:matt/water.W: 1712 304
:matt/water.W: 256 304
:matt/water.W: 288 304
:matt/water.W: 128 288
:matt/water.W: 160 288
:matt/water.W: 192 288
:matt/water.W: 224 288
:matt/water.W: 128 304
:matt/water.W: 160 304
:matt/water.W: 192 304
:matt/water.W: 224 304
:matt/water.W: 1744 288
:matt/water.W: 1776 288
:matt/water.W: 1744 304
:matt/water.W: 1776 304
:matt/water.W: 1808 288
:matt/water.W: 1840 288
:matt/water.W: 1808 304
:matt/water.W: 1840 304

:matt/carnival/25: 1920 252
:matt/carnival/25: 0 252
:matt/carnival/06: 1654 16
:matt/carnival/06: 312 16
:matt/carnival/10: 1302 240 rrrd
:matt/carnival/10: 1302 208 rd
:matt/carnival/02: 1334 208
:matt/carnival/00: 1334 240
:matt/carnival/02: 1366 208
:matt/carnival/00: 1366 240
:matt/carnival/02: 1238 208
:matt/carnival/00: 1238 240
:matt/carnival/02: 1270 208
:matt/carnival/00: 1270 240
:matt/carnival/02: 1174 208
:matt/carnival/00: 1174 240
:matt/carnival/02: 1206 208
:matt/carnival/00: 1206 240
:matt/carnival/02: 1110 208
:matt/carnival/00: 1110 240
:matt/carnival/02: 1142 208
:matt/carnival/00: 1142 240
:matt/carnival/02: 1526 208
:matt/carnival/00: 1526 240
:matt/carnival/02: 1558 208
:matt/carnival/00: 1558 240
:matt/carnival/02: 1462 208
:matt/carnival/00: 1462 240
:matt/carnival/02: 1494 208
:matt/carnival/00: 1494 240
:matt/carnival/02: 1398 208
:matt/carnival/00: 1398 240
:matt/carnival/02: 1430 208
:matt/carnival/00: 1430 240
:matt/carnival/02: 1590 208
:matt/carnival/00: 1590 240
:matt/carnival/02: 1622 208
:matt/carnival/00: 1622 240
:matt/carnival/00: 1334 272
:matt/carnival/00: 1366 272
:matt/carnival/00: 1526 272
:matt/carnival/00: 1558 272
:matt/carnival/00: 1462 272
:matt/carnival/00: 1494 272
:matt/carnival/00: 1398 272
:matt/carnival/00: 1430 272
:matt/carnival/00: 1590 272
:matt/carnival/00: 1622 272
:matt/carnival/02: 1334 304
:matt/carnival/02: 1366 304
:matt/carnival/02: 1526 304
:matt/carnival/02: 1558 304
:matt/carnival/02: 1462 304
:matt/carnival/02: 1494 304
:matt/carnival/02: 1398 304
:matt/carnival/02: 1430 304
:matt/carnival/02: 1590 304
:matt/carnival/02: 1622 304
:matt/carnival/00: 1110 272
:matt/carnival/00: 1142 272
:matt/carnival/00: 1238 272
:matt/carnival/00: 1270 272
:matt/carnival/00: 1174 272
:matt/carnival/00: 1206 272
:matt/carnival/02: 1110 304
:matt/carnival/02: 1142 304
:matt/carnival/02: 1238 304
:matt/carnival/02: 1270 304
:matt/carnival/02: 1174 304
:matt/carnival/02: 1206 304
:matt/carnival/00: 1302 272
:matt/carnival/02: 1302 304
:matt/carnival/00: 824 272
:matt/carnival/00: 856 272
:matt/carnival/00: 1016 272
:matt/carnival/00: 1048 272
:matt/carnival/00: 952 272
:matt/carnival/00: 984 272
:matt/carnival/00: 888 272
:matt/carnival/00: 920 272
:matt/carnival/00: 1080 272
:matt/carnival/02: 824 304
:matt/carnival/02: 856 304
:matt/carnival/02: 1016 304
:matt/carnival/02: 1048 304
:matt/carnival/02: 952 304
:matt/carnival/02: 984 304
:matt/carnival/02: 888 304
:matt/carnival/02: 920 304
:matt/carnival/02: 1080 304
:matt/carnival/00: 600 272
:matt/carnival/00: 632 272
:matt/carnival/00: 728 272
:matt/carnival/00: 760 272
:matt/carnival/00: 664 272
:matt/carnival/00: 696 272
:matt/carnival/02: 600 304
:matt/carnival/02: 632 304
:matt/carnival/02: 728 304
:matt/carnival/02: 760 304
:matt/carnival/02: 664 304
:matt/carnival/02: 696 304
:matt/carnival/00: 792 272
:matt/carnival/02: 792 304
:matt/carnival/00: 536 272
:matt/carnival/00: 568 272
:matt/carnival/02: 536 304
:matt/carnival/02: 568 304
:matt/carnival/00: 312 272
:matt/carnival/00: 344 272
:matt/carnival/00: 440 272
:matt/carnival/00: 472 272
:matt/carnival/00: 376 272
:matt/carnival/00: 408 272
:matt/carnival/02: 312 304
:matt/carnival/02: 344 304
:matt/carnival/02: 440 304
:matt/carnival/02: 472 304
:matt/carnival/02: 376 304
:matt/carnival/02: 408 304
:matt/carnival/00: 504 272
:matt/carnival/02: 504 304
:matt/carnival/02: 790 240
:matt/carnival/02: 790 218 d
:matt/carnival/02: 822 240
:matt/carnival/02: 822 218 d
:matt/carnival/02: 854 240
:matt/carnival/02: 854 218 d
:matt/carnival/02: 886 240
:matt/carnival/02: 886 218 d
:matt/carnival/02: 918 240
:matt/carnival/02: 918 218 d
:matt/carnival/02: 950 240
:matt/carnival/02: 950 218 d
:matt/carnival/02: 982 240
:matt/carnival/02: 982 218 d
:matt/carnival/02: 1014 240
:matt/carnival/02: 1046 240
:matt/carnival/02: 1046 218 d
:matt/carnival/02: 1046 219
:matt/carnival/02: 1046 198 d
:matt/carnival/02: 1078 240
:matt/carnival/02: 1078 218 d
:matt/carnival/02: 1078 219
:matt/carnival/04: 1654 272
:matt/carnival/04: 1654 208
:matt/carnival/04: 1654 144
:matt/carnival/04: 312 208
:matt/carnival/04: 312 144
:matt/carnival/32: 1672 12
:matt/carnival/43: 1672 44
:matt/carnival/43: 1640 44 r
:matt/carnival/32: 1608 12 frr
:matt/carnival/51: 1576 44
:matt/carnival/51: 1544 12
:matt/carnival/51: 1480 12
:matt/carnival/51: 1416 12
:matt/carnival/51: 1352 12
:matt/carnival/51: 1288 12
:matt/carnival/51: 1256 44
:matt/carnival/32: 1224 12
:matt/carnival/43: 1224 44
:matt/carnival/43: 1192 44 r
:matt/carnival/32: 1160 12 frr
:matt/carnival/51: 1128 44
:matt/carnival/51: 1096 12
:matt/carnival/51: 1032 12
:matt/carnival/51: 968 12
:matt/carnival/51: 904 12
:matt/carnival/51: 840 12
:matt/carnival/51: 808 44
:matt/carnival/32: 776 12
:matt/carnival/43: 776 44
:matt/carnival/43: 744 44 r
:matt/carnival/32: 712 12 frr
:matt/carnival/51: 680 44
:matt/carnival/51: 648 12
:matt/carnival/51: 584 12
:matt/carnival/51: 520 12
:matt/carnival/51: 456 12
:matt/carnival/51: 392 12
:matt/carnival/51: 360 44
:matt/carnival/32: 328 12
:matt/carnival/43: 328 44
:matt/carnival/43: 296 44 r
:matt/carnival/32: 264 12 frr
:matt/carnival/04: 1654 80
:matt/carnival/04: 312 80
:matt/carnival/27: 1920 284
:matt/carnival/25: 1856 284
:matt/carnival/27: 0 284
:matt/carnival/25: 64 284
:matt/carnival/34: 64 252
:matt/carnival/35: 1856 252 f
:matt/carnival/38: 1920 220 frr
:matt/carnival/38: 0 220
